donor,sample,variable,freq,gate_clean,expt,CAR,subset,car_name
tcsl242,01,IL2,24.58,IL2_pos,TCSL242,TRUE,CD3,CD28
tcsl242,01,IL2,24.4,IL2_pos,TCSL242,TRUE,CD3,CD28
tcsl242,02,IL2,17.48,IL2_pos,TCSL242,TRUE,CD3,TNR9
tcsl242,02,IL2,17.2,IL2_pos,TCSL242,TRUE,CD3,TNR9
tcsl242,05,IL2,14.4,IL2_pos,TCSL242,TRUE,CD3,Zeta
tcsl242,05,IL2,15.57,IL2_pos,TCSL242,TRUE,CD3,Zeta
tcsl242,06,IL2,18.9,IL2_pos,TCSL242,TRUE,CD3,MEGF8
tcsl242,06,IL2,20.63,IL2_pos,TCSL242,TRUE,CD3,MEGF8
tcsl242,12,IL2,26.11,IL2_pos,TCSL242,TRUE,CD3,DRB5
tcsl242,12,IL2,28.39,IL2_pos,TCSL242,TRUE,CD3,DRB5
tcsl241,01,IL2,8.38,IL2_pos,TCSL241,TRUE,CD3,CD28
tcsl241,01,IL2,7.62,IL2_pos,TCSL241,TRUE,CD3,CD28
tcsl241,01,IL2,8.68,IL2_pos,TCSL241,TRUE,CD3,CD28
tcsl241,02,IL2,12.1,IL2_pos,TCSL241,TRUE,CD3,TNR9
tcsl241,02,IL2,18.8,IL2_pos,TCSL241,TRUE,CD3,TNR9
tcsl241,02,IL2,13,IL2_pos,TCSL241,TRUE,CD3,TNR9
tcsl241,05,IL2,9.21,IL2_pos,TCSL241,TRUE,CD3,Zeta
tcsl241,05,IL2,7.31,IL2_pos,TCSL241,TRUE,CD3,Zeta
tcsl241,05,IL2,6.42,IL2_pos,TCSL241,TRUE,CD3,Zeta
tcsl241,06,IL2,5.34,IL2_pos,TCSL241,TRUE,CD3,MEGF8
tcsl241,06,IL2,4.14,IL2_pos,TCSL241,TRUE,CD3,MEGF8
tcsl241,06,IL2,4.38,IL2_pos,TCSL241,TRUE,CD3,MEGF8
tcsl241,12,IL2,16,IL2_pos,TCSL241,TRUE,CD3,DRB5
tcsl241,12,IL2,19.4,IL2_pos,TCSL241,TRUE,CD3,DRB5
tcsl241,12,IL2,21.5,IL2_pos,TCSL241,TRUE,CD3,DRB5
tcsl242,01,TNFa,50.42,TNFa_pos,TCSL242,TRUE,CD3,CD28
tcsl242,01,TNFa,53.62,TNFa_pos,TCSL242,TRUE,CD3,CD28
tcsl242,02,TNFa,42.27,TNFa_pos,TCSL242,TRUE,CD3,TNR9
tcsl242,02,TNFa,44.63,TNFa_pos,TCSL242,TRUE,CD3,TNR9
tcsl242,05,TNFa,34.63,TNFa_pos,TCSL242,TRUE,CD3,Zeta
tcsl242,05,TNFa,38.39,TNFa_pos,TCSL242,TRUE,CD3,Zeta
