car_id,well,plate,gate_str,gate,parent_gate,CAR,subset,parent_subset,parent_CAR,count,freq,gate_clean,row,col,car_name
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD3/IFNg+,IFNg+,CD3,TRUE,CD3,None,TRUE,4,16.7,IFNg_pos,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD3/IFNg-,IFNg-,CD3,TRUE,CD3,None,TRUE,20,83.3,IFNg_neg,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD3,CD3,live_car,TRUE,None,None,TRUE,24,100,CD3,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD3/IL2+,IL2+,CD3,TRUE,CD3,None,TRUE,2,20.8,IL2_pos,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_untr,live_untr,Lymphocytes,FALSE,None,None,FALSE,2242,76.8,live_untr,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car,live_car,Lymphocytes,TRUE,None,None,FALSE,24,0.82,live_car,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD3/IL2-,IL2-,CD3,TRUE,CD3,None,TRUE,2,79.2,IL2_neg,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_untr/CD4,CD4,live_untr,FALSE,None,None,FALSE,1276,56.9,CD4,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_untr/CD8,CD8,live_untr,FALSE,None,None,FALSE,859,38.3,CD8,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q1: CD45RO- , CD62L+","Q1: CD45RO- , CD62L+",CD3,TRUE,CD3,None,TRUE,3,12.5,CD45RO_neg.CD62L_pos,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD8,CD8,live_car,TRUE,None,None,TRUE,6,25,CD8,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_untr/CD3,CD3,live_untr,FALSE,None,None,FALSE,2202,98.2,CD3,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q2: CD45RO+ , CD62L+","Q2: CD45RO+ , CD62L+",CD3,TRUE,CD3,None,TRUE,14,58.3,CD45RO_pos.CD62L_pos,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q3: CD45RO+ , CD62L-","Q3: CD45RO+ , CD62L-",CD3,TRUE,CD3,None,TRUE,7,29.2,CD45RO_pos.CD62L_neg,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q4: CD45RO- , CD62L-","Q4: CD45RO- , CD62L-",CD3,TRUE,CD3,None,TRUE,0,0,CD45RO_neg.CD62L_neg,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD4,CD4,live_car,TRUE,None,None,TRUE,14,58.3,CD4,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q5: IFNg- , IL2+","Q5: IFNg- , IL2+",CD3,TRUE,CD3,None,TRUE,3,12.5,IFNg_neg.IL2_pos,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q6: IFNg+ , IL2+","Q6: IFNg+ , IL2+",CD3,TRUE,CD3,None,TRUE,2,8.33,IFNg_pos.IL2_pos,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q7: IFNg+ , IL2-","Q7: IFNg+ , IL2-",CD3,TRUE,CD3,None,TRUE,2,8.33,IFNg_pos.IL2_neg,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD3/Q8: IFNg- , IL2-","Q8: IFNg- , IL2-",CD3,TRUE,CD3,None,TRUE,17,70.8,IFNg_neg.IL2_neg,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD4/TNF-a-,TNF-a-,CD4,TRUE,CD4,None,TRUE,9,64.3,TNFa_neg,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_car/CD4/TNF-a+,TNF-a+,CD4,TRUE,CD4,None,TRUE,5,35.7,TNFa_pos,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_car/CD4/Q12: IFNg- , TNF-a-","Q12: IFNg- , TNF-a-",CD4,TRUE,CD4,None,TRUE,8,57.1,IFNg_neg.TNFa_neg,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_untr/Q4: CD8- , CD4-","Q4: CD8- , CD4-",live_untr,FALSE,None,None,FALSE,89,3.97,CD8_neg.CD4_neg,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_untr/Q2: CD8+ , CD4+","Q2: CD8+ , CD4+",live_untr,FALSE,None,None,FALSE,18,0.8,CD8_pos.CD4_pos,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_untr/CD8/TNF-a-,TNF-a-,CD8,FALSE,CD8,None,FALSE,854,99.4,TNFa_neg,E,5,
,E5,1,Lymphocytes/Single Cells/Single Cells/live_untr/CD8/TNF-a+,TNF-a+,CD8,FALSE,CD8,None,FALSE,5,0.58,TNFa_pos,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_untr/CD8/Q12: IFNg- , TNF-a-","Q12: IFNg- , TNF-a-",CD8,FALSE,CD8,None,FALSE,681,79.3,IFNg_neg.TNFa_neg,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_untr/CD8/Q11: IFNg+ , TNF-a-","Q11: IFNg+ , TNF-a-",CD8,FALSE,CD8,None,FALSE,171,19.9,IFNg_pos.TNFa_neg,E,5,
,E5,1,"Lymphocytes/Single Cells/Single Cells/live_untr/CD8/Q10: IFNg+ , TNF-a+/IL2-",IL2-,CD8,FALSE,CD8,None,FALSE,842,0.35,IFNg_pos.TNFa_pos.IL2_neg,E,5,
