,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,cells Count,cells % Parent,cells % Grand Parent,cells % Total,cells Count/uL,live Count,live % Parent,live % Grand Parent,live % Total,live Count/uL,Naive Count,Naive % Parent,Naive % Grand Parent,Naive % Total,Naive Count/uL,Mem Count,Mem % Parent,Mem % Grand Parent,Mem % Total,Mem Count/uL,Emra Count,Emra % Parent,Emra % Grand Parent,Emra % Total,Emra Count/uL,Eff Count,Eff % Parent,Eff % Grand Parent,Eff % Total,Eff Count/uL,CD4 Count,CD4 % Parent,CD4 % Grand Parent,CD4 % Total,CD4 Count/uL,CD8 Count,CD8 % Parent,CD8 % Grand Parent,CD8 % Total,CD8 Count/uL,EGFRt+ Count,EGFRt+ % Parent,EGFRt+ % Grand Parent,EGFRt+ % Total,EGFRt+ Count/uL,TNFa_EGFR Count,TNFa_EGFR % Parent,TNFa_EGFR % Grand Parent,TNFa_EGFR % Total,TNFa_EGFR Count/uL,IFNg_EGFR Count,IFNg_EGFR % Parent,IFNg_EGFR % Grand Parent,IFNg_EGFR % Total,IFNg_EGFR Count/uL,IL2_EGFR Count,IL2_EGFR % Parent,IL2_EGFR % Grand Parent,IL2_EGFR % Total,IL2_EGFR Count/uL,TNFa_1 Count,TNFa_1 % Parent,TNFa_1 % Grand Parent,TNFa_1 % Total,TNFa_1 Count/uL,IFNg_1 Count,IFNg_1 % Parent,IFNg_1 % Grand Parent,IFNg_1 % Total,IFNg_1 Count/uL,IL2_1 Count,IL2_1 % Parent,IL2_1 % Grand Parent,IL2_1 % Total,IL2_1 Count/uL,TNFa Count,TNFa % Parent,TNFa % Grand Parent,TNFa % Total,TNFa Count/uL,IFNg Count,IFNg % Parent,IFNg % Grand Parent,IFNg % Total,IFNg Count/uL,IL2 Count,IL2 % Parent,IL2 % Grand Parent,IL2 % Total,IL2 Count/uL
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G4 Well_056,"20472","100.00","100.00","100.00","268.94","7404","36.17","36.17","36.17","97.27","6595","89.07","32.21","32.21","86.64","2211","34.57","33.53","10.80","29.05","1519","23.75","23.03","7.42","19.96","1678","26.24","25.44","8.20","22.04","987","15.43","14.97","4.82","12.97","3441","52.18","46.47","16.81","45.20","2796","42.40","37.76","13.66","36.73","3251","49.29","43.91","15.88","42.71","1501","46.17","22.76","7.33","19.72","374","11.50","5.67","1.83","4.91","696","21.41","10.55","3.40","9.14","354","10.59","5.37","1.73","4.65","96","2.87","1.46","0.47","1.26","131","3.92","1.99","0.64","1.72","1855","28.13","25.05","9.06","24.37","547","8.29","7.39","2.67","7.19","754","11.43","10.18","3.68","9.91"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G5 Well_057,"10088","100.00","100.00","100.00","132.84","3060","30.33","30.33","30.33","40.29","2408","78.69","23.87","23.87","31.71","839","36.09","34.84","8.32","11.05","733","31.53","30.44","7.27","9.65","501","21.55","20.81","4.97","6.60","252","10.84","10.47","2.50","3.32","1261","52.37","41.21","12.50","16.61","1022","42.44","33.40","10.13","13.46","28","1.16","0.92","0.28","0.37","21","75.00","0.87","0.21","0.28","6","21.43","0.25","0.06","0.08","15","53.57","0.62","0.15","0.20","104","4.37","4.32","1.03","1.37","31","1.30","1.29","0.31","0.41","101","4.24","4.19","1.00","1.33","125","5.19","4.08","1.24","1.65","65","2.70","2.12","0.64","0.86","115","4.78","3.76","1.14","1.51"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G6 Well_058,"5112","100.00","100.00","100.00","67.47","62","1.21","1.21","1.21","0.82","49","79.03","0.96","0.96","0.65","17","37.78","34.69","0.33","0.22","16","35.56","32.65","0.31","0.21","8","17.78","16.33","0.16","0.11","4","8.89","8.16","0.08","0.05","22","44.90","35.48","0.43","0.29","20","40.82","32.26","0.39","0.26","19","38.78","30.65","0.37","0.25","9","47.37","18.37","0.18","0.12","2","10.53","4.08","0.04","0.03","4","21.05","8.16","0.08","0.05","2","6.67","4.08","0.04","0.03","0","0.00","0.00","0.00","0.00","3","10.00","6.12","0.06","0.04","11","22.45","17.74","0.22","0.15","2","4.08","3.23","0.04","0.03","7","14.29","11.29","0.14","0.09"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G7 Well_059,"8960","100.00","100.00","100.00","118.57","2087","23.29","23.29","23.29","27.62","1510","72.35","16.85","16.85","19.98","496","34.07","32.85","5.54","6.56","433","29.74","28.68","4.83","5.73","357","24.52","23.64","3.98","4.72","170","11.68","11.26","1.90","2.25","803","53.18","38.48","8.96","10.63","629","41.66","30.14","7.02","8.32","26","1.72","1.25","0.29","0.34","8","30.77","0.53","0.09","0.11","2","7.69","0.13","0.02","0.03","4","15.38","0.26","0.04","0.05","66","4.45","4.37","0.74","0.87","23","1.55","1.52","0.26","0.30","83","5.59","5.50","0.93","1.10","74","4.90","3.55","0.83","0.98","36","2.38","1.72","0.40","0.48","87","5.76","4.17","0.97","1.15"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G8 Well_060,"14456","100.00","100.00","100.00","192.08","6521","45.11","45.11","45.11","86.65","3799","58.26","26.28","26.28","50.48","890","28.01","23.43","6.16","11.83","957","30.11","25.19","6.62","12.72","556","17.50","14.64","3.85","7.39","775","24.39","20.40","5.36","10.30","1457","38.35","22.34","10.08","19.36","1689","44.46","25.90","11.68","22.44","34","0.89","0.52","0.24","0.45","32","94.12","0.84","0.22","0.43","10","29.41","0.26","0.07","0.13","27","79.41","0.71","0.19","0.36","3495","92.83","92.00","24.18","46.44","1407","37.37","37.04","9.73","18.70","2859","75.94","75.26","19.78","37.99","3527","92.84","54.09","24.40","46.86","1449","38.14","22.22","10.02","19.25","2885","75.94","44.24","19.96","38.33"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B1 Well_001,"17092","100.00","100.00","100.00","417.49","6519","38.14","38.14","38.14","159.23","5834","89.49","34.13","34.13","142.50","1688","29.92","28.93","9.88","41.23","1231","21.82","21.10","7.20","30.07","1706","30.24","29.24","9.98","41.67","1017","18.03","17.43","5.95","24.84","2889","49.52","44.32","16.90","70.57","2727","46.74","41.83","15.95","66.61","2384","40.86","36.57","13.95","58.23","924","38.76","15.84","5.41","22.57","201","8.43","3.45","1.18","4.91","323","13.55","5.54","1.89","7.89","186","5.39","3.19","1.09","4.54","87","2.52","1.49","0.51","2.13","62","1.80","1.06","0.36","1.51","1110","19.03","17.03","6.49","27.11","315","5.40","4.83","1.84","7.69","354","6.07","5.43","2.07","8.65"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B2 Well_002,"23164","100.00","100.00","100.00","373.67","10000","43.17","43.17","43.17","161.32","9128","91.28","39.41","39.41","147.25","2837","32.25","31.08","12.25","45.77","1784","20.28","19.54","7.70","28.78","2729","31.02","29.90","11.78","44.02","1447","16.45","15.85","6.25","23.34","4408","48.29","44.08","19.03","71.11","4348","47.63","43.48","18.77","70.14","2997","32.83","29.97","12.94","48.35","1200","40.04","13.15","5.18","19.36","287","9.58","3.14","1.24","4.63","386","12.88","4.23","1.67","6.23","368","6.00","4.03","1.59","5.94","121","1.97","1.33","0.52","1.95","130","2.12","1.42","0.56","2.10","1568","17.18","15.68","6.77","25.29","464","5.08","4.64","2.00","7.49","487","5.34","4.87","2.10","7.86"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B3 Well_003,"23259","100.00","100.00","100.00","312.12","10000","42.99","42.99","42.99","134.19","9202","92.02","39.56","39.56","123.48","2478","27.80","26.93","10.65","33.25","1937","21.73","21.05","8.33","25.99","2670","29.96","29.02","11.48","35.83","1828","20.51","19.87","7.86","24.53","4695","51.02","46.95","20.19","63.00","4161","45.22","41.61","17.89","55.84","3844","41.77","38.44","16.53","51.58","1901","49.45","20.66","8.17","25.51","504","13.11","5.48","2.17","6.76","995","25.88","10.81","4.28","13.35","566","10.56","6.15","2.43","7.60","177","3.30","1.92","0.76","2.38","163","3.04","1.77","0.70","2.19","2467","26.81","24.67","10.61","33.11","748","8.13","7.48","3.22","10.04","1109","12.05","11.09","4.77","14.88"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B4 Well_004,"25550","100.00","100.00","100.00","452.93","10000","39.14","39.14","39.14","177.27","8922","89.22","34.92","34.92","158.16","2643","30.51","29.62","10.34","46.85","2034","23.48","22.80","7.96","36.06","2437","28.13","27.31","9.54","43.20","1550","17.89","17.37","6.07","27.48","4305","48.25","43.05","16.85","76.32","4291","48.09","42.91","16.79","76.07","2764","30.98","27.64","10.82","49.00","1511","54.67","16.94","5.91","26.79","382","13.82","4.28","1.50","6.77","694","25.11","7.78","2.72","12.30","481","7.81","5.39","1.88","8.53","187","3.04","2.10","0.73","3.32","151","2.45","1.69","0.59","2.68","1992","22.33","19.92","7.80","35.31","635","7.12","6.35","2.49","11.26","806","9.03","8.06","3.15","14.29"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B5 Well_005,"23072","100.00","100.00","100.00","307.22","9164","39.72","39.72","39.72","122.02","8272","90.27","35.85","35.85","110.15","2439","30.34","29.49","10.57","32.48","1651","20.53","19.96","7.16","21.98","2471","30.73","29.87","10.71","32.90","1479","18.40","17.88","6.41","19.69","4315","52.16","47.09","18.70","57.46","3655","44.19","39.88","15.84","48.67","3452","41.73","37.67","14.96","45.97","1130","32.73","13.66","4.90","15.05","231","6.69","2.79","1.00","3.08","426","12.34","5.15","1.85","5.67","428","8.88","5.17","1.86","5.70","132","2.74","1.60","0.57","1.76","126","2.61","1.52","0.55","1.68","1558","18.83","17.00","6.75","20.75","414","5.00","4.52","1.79","5.51","503","6.08","5.49","2.18","6.70"
