,Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/CD39 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/LAG3 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Mean (LAG3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Mean (TIM3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Mean (PD1),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Mean (CD39),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Geometric Mean (LAG3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Mean (LAG3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Mean (TIM3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Mean (PD1),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Mean (CD39),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Geometric Mean (LAG3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Geometric Mean (TIM3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Geometric Mean (PD1),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Geometric Mean (CD39),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Geometric Mean (TIM3),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Geometric Mean (PD1),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Geometric Mean (CD39),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/PD1 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q10: CD127+ , CD27+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q11: CD127+ , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q12: CD127- , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q1: CD45RO- , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q2: CD45RO+ , CD62L+ | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/TIM3 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q12: CD127- , CD27- | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/TIM3 | Freq. of Parent (%),Lymphocytes | Count,beads | Count,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q9: CD127- , CD27+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q8: CD62L- , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q7: CD62L+ , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q6: CD62L+ , CD25+ | Freq. of Parent (%)",Lymphocytes | Freq. of Parent (%),beads | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q5: CD62L- , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q4: CD45RO- , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q3: CD45RO+ , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q2: CD45RO+ , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q1: CD45RO- , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q12: CD127- , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q11: CD127+ , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q10: CD127+ , CD27+ | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/PD1 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/LAG3 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/CD39 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q11: CD127+ , CD27- | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/TIM3 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q9: CD127- , CD27+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q8: CD62L- , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q7: CD62L+ , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q6: CD62L+ , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q5: CD62L- , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q4: CD45RO- , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q3: CD45RO+ , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q2: CD45RO+ , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q1: CD45RO- , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q12: CD127- , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q11: CD127+ , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q10: CD127+ , CD27+ | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/PD1 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/LAG3 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/CD39 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR | Freq. of Lymphocytes (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD8 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR/CD4 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live CAR | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD8 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD4 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr | Freq. of Lymphocytes (%),"Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q10: CD127+ , CD27+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q9: CD127- , CD27+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q8: CD62L- , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q7: CD62L+ , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q6: CD62L+ , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q5: CD62L- , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q4: CD45RO- , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q3: CD45RO+ , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q2: CD45RO+ , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/Q1: CD45RO- , CD62L+ | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/PD1 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/LAG3 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD8/CD39 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q3: CD45RO+ , CD62L- | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/TIM3 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD4 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q9: CD127- , CD27+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q8: CD62L- , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q7: CD62L+ , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q6: CD62L+ , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q5: CD62L- , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q4: CD45RO- , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q3: CD45RO+ , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q2: CD45RO+ , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q1: CD45RO- , CD62L+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q12: CD127- , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q11: CD127+ , CD27- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/Q10: CD127+ , CD27+ | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/PD1 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/LAG3 | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/Live Untr/CD4/CD39 | Freq. of Parent (%),"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q4: CD45RO- , CD62L- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q5: CD62L- , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q6: CD62L+ , CD25+ | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q7: CD62L+ , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q8: CD62L- , CD25- | Freq. of Parent (%)","Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q9: CD127- , CD27+ | Freq. of Parent (%)",Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/TIM3 | Freq. of Parent (%),
20241115 TCSL248 Repstim-Plate_001-Group_001-A1 Well_001_Unmixed.fcs,75.5,51.2,2280,9874,16298,69008,1670,8548,12591,12066,99160,2283,7027,8777,69756,5537,14943,19746,46.1,65.2,20.5,0.54,6.47,62.8,78.1,2.92,90.4,8267,3569,20.6,1.80,5.03,72.2,25.0,10.8,21.0,1.89,16.6,69.9,11.7,3.48,17.0,59.0,9.22,63.6,97.0,17.5,87.1,13.7,1.89,2.70,61.5,34.0,2.16,28.6,62.8,6.47,0.54,20.5,65.2,46.1,51.2,75.5,13.1,34.2,84.4,13.1,38.4,80.4,18.6,45.9,73.8,5.74,5.74,32.8,56.0,5.44,3.44,6.07,26.9,63.6,1.12,17.4,79.9,28.6,59.3,18.6,0.14,6.37,15.0,63.2,15.4,3.12,15.6,52.0,29.3,0.57,24.6,74.6,6.37,8.64,49.0,2.16,34.0,61.5,2.70,1.89,13.7,87.1,
20241115 TCSL248 Repstim-Plate_001-Group_001-A2 Well_002_Unmixed.fcs,75.8,47.0,2657,9664,15073,59740,1544,12870,12112,13664,99625,2040,6562,8893,67954,5678,13890,16755,41.5,66.4,18.8,0.77,5.76,64.3,78.8,3.52,88.5,11885,3628,24.4,3.34,6.16,70.8,26.9,8.21,19.8,2.91,16.2,65.4,15.5,5.64,17.7,52.3,9.07,58.0,96.3,17.8,88.9,14.0,1.92,3.84,63.0,31.3,1.54,28.4,64.3,5.76,0.77,18.8,66.4,41.5,47.0,75.8,13.5,32.6,84.4,13.5,36.4,80.2,18.7,46.4,68.9,9.78,4.86,39.2,51.8,4.11,2.96,4.63,24.0,68.4,1.06,14.0,80.9,28.4,63.1,18.7,0.097,5.03,16.9,69.3,8.70,2.32,10.3,50.8,36.6,0,17.5,82.4,5.51,8.51,42.3,1.54,31.3,63.0,3.84,1.92,14.0,88.9,
20241115 TCSL248 Repstim-Plate_001-Group_001-A3 Well_003_Unmixed.fcs,70.6,13.1,666,4346,7735,31389,617,11382,5290,9855,56654,921,3027,6266,33287,2510,7516,9592,15.0,86.3,11.8,0,12.4,52.9,57.2,6.83,76.6,7457,3663,40.4,12.0,26.1,28.7,28.4,14.0,33.2,4.40,34.9,42.9,17.8,2.39,4.03,53.2,2.24,18.8,91.1,4.66,66.7,1.96,10.5,17.0,41.8,30.7,4.58,30.1,52.9,12.4,0,11.8,86.3,15.0,13.1,70.6,10.0,20.5,87.8,10.0,23.4,77.2,21.9,52.1,69.7,18.8,11.6,66.1,17.9,4.43,6.36,7.86,15.7,70.1,0.67,4.93,72.4,30.1,31.1,21.9,0,11.6,20.3,57.7,10.4,6.80,14.0,36.6,42.7,0.12,14.9,85.0,4.10,5.98,35.2,4.58,30.7,41.8,17.0,10.5,1.96,66.7,
20241115 TCSL248 Repstim-Plate_001-Group_001-A4 Well_004_Unmixed.fcs,65.4,14.7,2015,4727,8765,24830,698,17383,5770,12785,54353,884,3317,5927,32047,2657,7558,7405,15.6,77.7,12.8,0.95,17.1,46.4,60.0,3.20,79.4,8869,3906,26.6,9.59,23.5,33.1,29.5,13.0,33.7,3.58,33.1,44.2,19.2,1.70,4.85,66.9,2.12,17.4,91.6,6.82,70.6,8.53,9.00,15.2,41.7,34.1,8.06,28.4,46.4,17.1,0.95,12.8,77.7,15.6,14.7,65.4,10.9,21.7,85.5,10.9,24.2,75.9,22.7,53.8,83.3,6.68,11.0,60.9,23.7,4.47,6.46,7.78,16.0,69.8,0.52,4.03,71.6,28.4,33.4,22.7,0,10.6,25.7,56.0,7.66,6.73,9.87,37.7,45.7,0.28,12.9,86.8,4.43,5.35,31.0,8.06,34.1,41.7,15.2,9.00,8.53,70.6,
20241115 TCSL248 Repstim-Plate_001-Group_001-A5 Well_005_Unmixed.fcs,67.6,43.6,2223,11513,15866,58820,1461,14846,13044,14067,98121,1998,7140,9016,66465,6856,14432,12256,40.9,74.2,13.3,0.61,10.6,63.9,81.6,4.94,89.4,8293,3739,29.1,1.78,6.41,68.8,22.8,10.3,23.0,2.02,18.2,64.5,15.2,7.94,17.9,45.1,9.12,56.6,95.9,18.7,90.0,11.8,0.61,2.73,68.8,27.9,1.52,23.9,63.9,10.6,0.61,13.3,74.2,40.9,43.6,67.6,13.7,29.1,84.1,13.7,32.5,81.2,17.8,51.5,60.7,15.7,4.62,38.6,52.8,3.98,2.71,4.65,25.5,67.2,1.65,16.2,80.3,23.9,66.1,17.8,0.26,4.88,15.4,71.0,8.71,2.64,9.23,52.0,36.1,0,18.6,81.1,5.28,8.05,43.5,1.52,27.9,68.8,2.73,0.61,11.8,90.0,
20241115 TCSL248 Repstim-Plate_001-Group_001-A6 Well_006_Unmixed.fcs,73.5,46.5,3367,11137,15315,73683,1697,8754,14584,11579,105255,2186,8413,9199,71314,6185,14225,17997,41.9,70.3,19.8,0.58,6.40,62.5,82.9,5.68,91.7,8499,3802,27.0,2.03,6.15,72.0,23.2,10.4,19.8,1.66,16.2,68.7,13.5,7.21,19.6,46.2,9.39,61.2,96.0,17.9,86.6,9.30,0.58,2.03,62.8,34.6,1.16,29.9,62.5,6.40,0.58,19.8,70.3,41.9,46.5,73.5,13.5,29.9,85.1,13.5,33.5,79.9,19.0,50.3,59.1,17.3,3.69,38.5,54.0,3.84,2.23,4.13,27.2,66.5,1.67,16.2,80.4,29.9,62.6,19.0,0.12,4.32,14.0,74.2,7.53,1.98,8.52,53.8,35.7,0,16.7,83.2,6.79,7.04,41.4,1.16,34.6,62.8,2.03,0.58,9.30,86.6,
20241115 TCSL248 Repstim-Plate_001-Group_001-A7 Well_007_Unmixed.fcs,61.7,11.7,691,5051,6120,21721,612,15959,6843,12350,55328,924,3899,5974,29214,2937,5964,6555,9.09,84.4,8.44,0,18.8,57.8,65.9,4.82,82.1,6773,3727,42.7,9.87,34.9,29.7,30.1,16.6,25.5,4.20,27.0,44.8,24.0,2.05,3.23,52.0,1.66,19.3,88.5,4.69,71.4,7.14,5.84,25.3,48.7,20.1,3.90,19.5,57.8,18.8,0,8.44,84.4,9.09,11.7,61.7,12.8,17.8,84.9,12.8,19.7,78.3,21.0,59.1,65.6,24.9,7.82,70.5,18.6,3.10,3.83,5.65,15.0,75.5,0.67,5.08,72.7,19.5,50.2,21.0,0.24,6.30,23.9,65.2,4.64,3.45,6.30,38.6,51.6,0,7.37,92.4,3.57,5.11,30.7,3.90,20.1,48.7,25.3,5.84,7.14,71.4,
20241115 TCSL248 Repstim-Plate_001-Group_001-A8 Well_008_Unmixed.fcs,58.0,10.5,707,5645,6551,21852,567,16994,7132,13591,57046,1020,3939,6399,32728,3360,6369,6173,9.09,82.5,9.09,0.70,13.3,60.8,67.7,5.41,81.6,6732,3580,40.0,8.06,30.4,33.4,30.2,16.1,28.2,3.04,27.6,45.2,24.2,1.90,3.04,55.0,2.75,21.4,91.6,3.74,77.6,7.69,3.50,14.0,59.4,23.1,1.40,24.5,60.8,13.3,0.70,9.09,82.5,9.09,10.5,58.0,11.7,18.2,86.3,11.7,20.2,79.0,20.0,56.2,69.8,21.1,7.29,68.0,21.7,3.01,3.71,4.95,15.6,75.7,0.60,5.18,72.9,24.5,48.9,20.0,0,5.94,24.0,65.5,4.49,3.04,6.21,40.7,50.1,0,7.93,92.1,4.62,5.94,32.5,1.40,23.1,59.4,14.0,3.50,7.69,77.6,
20241115 TCSL248 Repstim-Plate_001-Group_001-B1 Well_009_Unmixed.fcs,75.1,14.3,761,5237,8314,39736,696,8108,11719,10538,107699,1543,6314,8092,72991,2663,8118,13810,12.2,70.9,13.8,1.06,7.94,59.8,73.0,3.85,87.7,5814,3740,14.8,2.33,6.38,75.0,19.7,12.7,16.3,0.93,14.2,73.4,11.5,6.05,21.2,58.0,4.98,49.8,97.2,22.0,66.7,14.3,7.41,5.29,59.8,27.5,1.59,30.7,59.8,7.94,1.06,13.8,70.9,12.2,14.3,75.1,10.7,30.3,85.5,10.7,34.4,77.9,21.1,45.9,65.3,8.90,5.68,34.8,54.8,4.71,3.94,5.00,28.1,63.0,1.06,17.3,81.2,30.7,52.0,21.1,0,7.80,16.5,70.4,5.32,4.08,7.45,51.4,37.1,0,15.8,84.2,3.19,7.45,36.3,1.59,27.5,59.8,5.29,7.41,14.3,66.7,
20241115 TCSL248 Repstim-Plate_001-Group_001-B2 Well_010_Unmixed.fcs,75.8,22.7,1170,6289,9040,43501,855,12890,13471,13274,113942,1499,7225,8566,77758,3365,8746,15381,15.8,65.8,21.4,1.86,9.63,59.3,75.3,6.83,88.2,8596,3631,17.7,3.10,6.16,73.4,21.5,9.09,17.3,1.29,14.9,74.0,9.86,8.95,23.5,49.8,5.51,46.9,97.2,20.0,75.8,10.9,4.66,2.80,61.5,31.1,1.86,29.2,59.3,9.63,1.86,21.4,65.8,15.8,22.7,75.8,11.8,31.9,84.8,11.8,36.2,77.1,22.1,44.4,58.2,15.0,6.25,34.8,54.0,4.99,3.09,6.76,27.4,62.7,1.12,14.2,83.8,29.2,49.3,22.1,0.24,4.98,13.5,71.7,9.83,3.20,9.72,52.3,34.8,0,14.0,85.8,4.27,6.87,39.5,1.86,31.1,61.5,2.80,4.66,10.9,75.8,
20241115 TCSL248 Repstim-Plate_001-Group_001-B3 Well_011_Unmixed.fcs,61.9,19.5,1222,7557,8497,39313,791,20061,9631,17222,75956,1216,5607,7636,50024,4101,8139,9297,21.4,82.8,9.30,0.47,5.58,66.5,70.8,7.93,88.6,7344,3611,39.2,5.16,22.2,47.7,17.6,8.64,24.9,1.89,23.5,57.4,17.2,1.89,6.19,52.7,4.99,33.3,95.4,8.46,81.9,7.44,2.33,9.77,56.7,31.2,1.86,26.0,66.5,5.58,0.47,9.30,82.8,21.4,19.5,61.9,15.2,19.3,82.2,15.2,22.3,80.6,18.7,47.1,60.2,23.4,8.97,43.7,40.3,7.07,2.87,10.8,24.4,61.9,2.58,11.1,79.3,26.0,52.9,18.7,0,6.04,9.91,73.8,10.2,2.63,10.7,55.3,31.4,0,12.2,87.8,3.72,6.50,35.4,1.86,31.2,56.7,9.77,2.33,7.44,81.9,
20241115 TCSL248 Repstim-Plate_001-Group_001-B4 Well_012_Unmixed.fcs,65.2,18.9,4108,6476,8517,37266,729,14524,10050,12285,74325,1164,5986,6933,51808,3579,8036,10197,18.9,80.6,11.9,0.44,6.61,67.0,72.3,7.85,88.6,8562,3779,32.7,5.21,21.7,46.6,18.2,8.02,26.5,1.95,24.3,56.7,17.1,1.30,5.42,60.6,2.82,32.1,95.9,9.28,81.1,7.05,4.41,6.17,63.4,26.0,1.32,25.1,67.0,6.61,0.44,11.9,80.6,18.9,18.9,65.2,13.8,19.1,84.4,13.8,22.0,80.5,18.7,46.8,63.7,19.1,10.0,43.1,39.6,7.26,2.58,12.2,23.2,62.0,2.55,10.1,79.9,25.1,54.4,18.7,0,4.02,14.2,73.1,8.70,2.28,8.30,49.3,40.2,0,11.4,88.6,4.69,7.23,36.1,1.32,26.0,63.4,6.17,4.41,7.05,81.1,
