,plate,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Absolute Count,P1 Count,P1 % Parent,P1 % Grand Parent,P1 % Total,P1 Count/uL,P1 Absolute Count,live Count,live % Parent,live % Grand Parent,live % Total,live Count/uL,live Absolute Count,bead Count,bead % Parent,bead % Grand Parent,bead % Total,bead Count/uL,bead Absolute Count,A549 Count,A549 % Parent,A549 % Grand Parent,A549 % Total,A549 Count/uL,A549 Absolute Count
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A1 Well_001,2,9520,100,100,100,133.6,N/A,1374,14.43,14.43,14.43,19.28,N/A,1236,92.24,89.96,12.98,17.34,N/A,2552,80.61,26.81,26.81,35.81,N/A,740,52.59,43.56,7.77,10.38,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A2 Well_002,2,9704,100,100,100,137.59,N/A,1362,14.04,14.04,14.04,19.31,N/A,1178,90.34,86.49,12.14,16.7,N/A,2901,86.42,29.89,29.89,41.13,N/A,838,53.75,46.27,8.64,11.88,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A3 Well_003,2,9368,100,100,100,130.84,N/A,1462,15.61,15.61,15.61,20.42,N/A,1294,90.3,88.51,13.81,18.07,N/A,2931,86.43,31.29,31.29,40.94,N/A,866,59.32,49.71,9.24,12.09,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A4 Well_004,2,15000,100,100,100,253.42,N/A,2430,16.2,16.2,16.2,41.05,N/A,2233,93.47,91.89,14.89,37.73,N/A,2421,78.1,16.14,16.14,40.9,N/A,1187,38.77,31.15,7.91,20.05,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A5 Well_005,2,15000,100,100,100,236.74,N/A,2203,14.69,14.69,14.69,34.77,N/A,2037,93.61,92.46,13.58,32.15,N/A,2872,83.1,19.15,19.15,45.33,N/A,1225,39.07,31.6,8.17,19.33,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A6 Well_006,2,15000,100,100,100,250.71,N/A,2501,16.67,16.67,16.67,41.8,N/A,2332,94.95,93.24,15.55,38.98,N/A,2483,79.43,16.55,16.55,41.5,N/A,1224,39.27,31.51,8.16,20.46,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A7 Well_007,2,9168,100,100,100,129.05,N/A,1476,16.1,16.1,16.1,20.78,N/A,1332,92.24,90.24,14.53,18.75,N/A,2951,88.17,32.19,32.19,41.54,N/A,689,54,44.42,7.52,9.7,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A8 Well_008,2,8832,100,100,100,124.64,N/A,1440,16.3,16.3,16.3,20.32,N/A,1273,92.92,88.4,14.41,17.97,N/A,3074,89.23,34.81,34.81,43.38,N/A,684,57.19,47.34,7.74,9.65,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-A9 Well_009,2,9296,100,100,100,129.29,N/A,1589,17.09,17.09,17.09,22.1,N/A,1440,92.25,90.62,15.49,20.03,N/A,3105,87.61,33.4,33.4,43.18,N/A,703,56.11,45.74,7.56,9.78,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B1 Well_010,2,14200,100,100,100,206.13,N/A,1524,10.73,10.73,10.73,22.12,N/A,1267,88.91,83.14,8.92,18.39,N/A,3021,81.12,21.27,21.27,43.85,N/A,1397,45.82,37.38,9.84,20.28,N/A
