Vessel Name: TCSL248_wk0Incucyte_DBG
Metric: Red Object Count (Per Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis_Copy

Date Time	Elapsed	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12	A1 (Std Dev Well)	B1 (Std Dev Well)	C1 (Std Dev Well)	D1 (Std Dev Well)	E1 (Std Dev Well)	F1 (Std Dev Well)	G1 (Std Dev Well)	H1 (Std Dev Well)	A2 (Std Dev Well)	B2 (Std Dev Well)	C2 (Std Dev Well)	D2 (Std Dev Well)	E2 (Std Dev Well)	F2 (Std Dev Well)	G2 (Std Dev Well)	H2 (Std Dev Well)	A3 (Std Dev Well)	B3 (Std Dev Well)	C3 (Std Dev Well)	D3 (Std Dev Well)	E3 (Std Dev Well)	F3 (Std Dev Well)	G3 (Std Dev Well)	H3 (Std Dev Well)	A4 (Std Dev Well)	B4 (Std Dev Well)	C4 (Std Dev Well)	D4 (Std Dev Well)	E4 (Std Dev Well)	F4 (Std Dev Well)	G4 (Std Dev Well)	H4 (Std Dev Well)	A5 (Std Dev Well)	B5 (Std Dev Well)	C5 (Std Dev Well)	D5 (Std Dev Well)	E5 (Std Dev Well)	F5 (Std Dev Well)	G5 (Std Dev Well)	H5 (Std Dev Well)	A6 (Std Dev Well)	B6 (Std Dev Well)	C6 (Std Dev Well)	D6 (Std Dev Well)	E6 (Std Dev Well)	F6 (Std Dev Well)	G6 (Std Dev Well)	H6 (Std Dev Well)	A7 (Std Dev Well)	B7 (Std Dev Well)	C7 (Std Dev Well)	D7 (Std Dev Well)	E7 (Std Dev Well)	F7 (Std Dev Well)	G7 (Std Dev Well)	H7 (Std Dev Well)	A8 (Std Dev Well)	B8 (Std Dev Well)	C8 (Std Dev Well)	D8 (Std Dev Well)	E8 (Std Dev Well)	F8 (Std Dev Well)	G8 (Std Dev Well)	H8 (Std Dev Well)	A9 (Std Dev Well)	B9 (Std Dev Well)	C9 (Std Dev Well)	D9 (Std Dev Well)	E9 (Std Dev Well)	F9 (Std Dev Well)	G9 (Std Dev Well)	H9 (Std Dev Well)	A10 (Std Dev Well)	B10 (Std Dev Well)	C10 (Std Dev Well)	D10 (Std Dev Well)	E10 (Std Dev Well)	F10 (Std Dev Well)	G10 (Std Dev Well)	H10 (Std Dev Well)	A11 (Std Dev Well)	B11 (Std Dev Well)	C11 (Std Dev Well)	D11 (Std Dev Well)	E11 (Std Dev Well)	F11 (Std Dev Well)	G11 (Std Dev Well)	H11 (Std Dev Well)	A12 (Std Dev Well)	B12 (Std Dev Well)	C12 (Std Dev Well)	D12 (Std Dev Well)	E12 (Std Dev Well)	F12 (Std Dev Well)	G12 (Std Dev Well)	H12 (Std Dev Well)
11/8/2024 5:46:00 PM	0	3229.2	4440.4	3738.4	3622.6	3538	3715.8	3955.8	3694.8	3477.2	4025.4	5572.6	4793.4	3974	5287.8	4111.4	4103.4	3989.4	4558.8	3619	3774.2	3741	3853.2	4951.8	3851	3798.6	4136.4	4075	3901.6	3857.6	3991.2	4008.6	3956.2	3672.6	3766.8	3973.6	3957.8	3854.8	3896.8	3888.4	3678.6	3031.8	3824.4	4038	3866	3840	3695.6	3672.4	3461	3064.8	3675.8	3570.8	3572.2	3504.8	3630	3689.6	3255.2	2754.6	3489	3458	3534.4	3564.8	3632.8	3555	3317.6	3190.2	3115.8	3388.6	3378.6	3290.4	3439.6	3571.2	3767.4	2589.2	3339.6	3038.4	3317	3379	3641.2	5271.6	3442.2	2385	3423.8	4132.8	3704.2	3687.8	5623.8	3520	3409.4	1797.8	2197.2	2631	2623	2523.2	2878	2818.2	3037.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/8/2024 8:46:00 PM	3	3530.2	4020.6	4084.6	3928.4	3840.4	4019.8	4260.6	3957	3754	4357.2	5894	5125.4	4294.8	5599.4	4397.4	4415	4202.8	4942.6	3889.4	4069.6	4035.6	4155.8	5280.8	4154.2	4089.6	4414	4374.2	4174.6	4143.4	4266.8	4305.6	4234.8	3996.6	4078.4	4251.8	4262.4	4138.4	4187.2	4138.4	3925.8	3320.4	4126.2	4326.8	4149.8	4125.4	3997.8	3946.6	3747.4	3366.8	3954.6	3851	3863	3818.6	3916	3960.8	3483	3028.2	3769	3726.2	3796.4	3861.8	3921	3825.2	3547.2	3476.2	3366	3672.2	3660	3591.8	3733.2	3861.4	4108.8	2830.6	3653.4	3294.8	3622	3655.6	3949.2	5533	3703.8	2612.4	3715.4	4464	3981.2	4049.2	5989.2	3816.6	3717.8	1944.2	2395.8	2875.4	2875.6	2751.8	3139.2	3076.2	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/8/2024 11:46:00 PM	6	3824.6	4224.8	4408.8	4257	4182	4385	4623.2	4258	4127	4723.8	6248.8	5486.6	4642.8	5919.6	4734.6	4759.2	4534.6	5256.6	4237.2	4382.6	4345.4	4500.6	5598.2	4500.2	4434.6	4758.2	4716.4	4500	4479.8	4583	4652.6	4591.8	4358	4442.2	4588.2	4617	4477.6	4513.6	4489.6	4259.2	3641.6	4450.4	4663.6	4470.4	4467.4	4306.2	4294	4073.8	3729	4276.2	4163.2	4200	4169.4	4259.8	4248.8	3816	3347.6	4121.6	4085.2	4165.8	4218.6	4253.6	4151.8	3866.2	3839.6	3721.6	4040.8	4002	3946.2	4073	4224	4480.4	3127.8	3993.4	3623.6	3963	4029.8	4331.4	5913.2	4072	2873	4118.8	4892	4401	4427.8	6397.6	4213.4	4091	2156.4	2671.4	3188.6	3183.2	3032	3464.4	3376.4	1001.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 2:46:00 AM	9	4092.8	4393.4	4710.6	4523.2	4508.2	4707.4	4979.4	4556.6	4460.2	5037.6	6548.8	5788.4	5041.6	6231.2	5104.6	5054.2	4847.4	5597.8	4563.4	4710.6	4754.4	4858.8	5925.4	4826.2	4795	5151.4	5062.2	4861	4866.8	4976.4	5031.4	4924	4738.4	4807.4	4931	4967.6	4845	4873.6	4855.4	4550.2	3979.2	4827	5035	4813.6	4813	4656.8	4652	4410	4049.4	4551.8	4425.8	4545.2	4494.8	4595.8	4574.6	4146.4	3703.4	4490.8	4473	4535.8	4585.8	4609.2	4510.4	4232.8	4220.8	4091.4	4456	4356.8	4317.8	4418	4608.8	4862	3497	4412	3994.8	4359.6	4434	4702.8	6328.4	4469.6	3210.8	4544	5311.2	4792.8	4822.6	6778.2	4608	4448.8	2394.2	2949.2	3531	3522	3354.8	3794.2	3737	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 5:46:00 AM	12	4305.4	4547.2	4899	4692.6	4709.2	4950.4	5205.6	4756.6	4704.2	5333	6833.6	6023.6	5352.2	6495.4	5380.2	5369.4	5073.6	5905.2	4811.4	5024.8	5072	5110.4	6237.2	5127.4	5076.2	5472.6	5383	5143	5219.8	5291.8	5368.8	5232.6	5009.6	5137	5216.4	5281.4	5209.2	5195.4	5168.2	4868.2	4251.2	5150.6	5350	5114.8	5129.4	4971	4951.4	4720.8	4297.8	4717.6	4667.2	4750	4693.8	4856.2	4760	4345.2	3976.4	4777.6	4751.4	4807.6	4854.2	4895	4754	4497.8	4511	4343.8	4767	4637.8	4607.2	4733	4866	5168	3790.4	4715.2	4292	4651.2	4780.6	5000.8	6592	4762.8	3482.2	4857.6	5658.8	5173.2	5119.6	7078	4952.2	4755.4	2639.8	3218.8	3818.4	3838.2	3668.8	4074.6	4040.2	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 8:46:00 AM	15	4367	4589.8	4997.6	4772.4	4760.6	5014.6	5319	4821.2	4789.4	5476	6932.4	6179.6	5510.6	6622	5497.6	5537.4	5166.2	6017.6	4880.2	5069.4	5178.2	5153.2	6313.8	5278.6	5208.8	5622.8	5504.4	5284.8	5382.6	5413.4	5523.2	5422	5115	5294.2	5309.4	5426	5338.8	5320.8	5294.2	5093	4478.8	5394.8	5566.6	5371.6	5358.4	5180.8	5198.4	4973	4376.4	4726	4615.4	4768.2	4718	4865.2	4799.4	4435	4083	4848.6	4845.2	4872.6	4951.4	4976.6	4833.6	4653	4697.6	4468.4	4856.4	4793.8	4724.4	4853.2	4917.8	5282.6	4004.4	4895.8	4444.8	4823.4	4887.6	5189.4	6844	4968.8	3657.6	5070.8	5877.8	5393	5351	7228.4	5133	4937.2	2785.6	3448	4080.2	4055.2	3893.4	4312.6	4259	874.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 11:46:00 AM	18	4422.6	4565.6	5010	4831.2	4761.8	5040.4	5332.2	4892.8	4863.8	5522	6931.8	6183.6	5488	6612.8	5509.2	5608.4	5209	6000.8	4822	5053.8	5163.6	5122.4	6371.8	5354.8	5278.8	5715	5474.8	5353.6	5446.6	5428.2	5624.8	5606.6	5198.2	5375.8	5320	5463.2	5435.6	5389.4	5390.8	5245.4	4751.2	5655	5886.4	5685.2	5652	5484.8	5450	5206	4347.8	4530.4	4473.4	4611	4587.4	4763	4693	4384.8	4160	4787.2	4818.2	4848.8	4914.8	4919.2	4746.6	4676	4810.6	4364.8	4799.2	4715	4751.2	4811.4	4907.4	5315.6	4205	4952.4	4511.6	4877.2	4916.6	5284.6	6798.4	5116.8	3790.8	5142.2	6012.2	5482.2	5492.2	7324	5184.4	5094.4	2943.8	3677.2	4340.4	4332.4	4159.6	4582.4	4527	902.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 2:46:00 PM	21	4445.4	4519.4	4964	4815.2	4677.8	5080.4	5310.2	4879.6	4888	5602.6	6892.8	6239.6	5476.8	6655.8	5619.8	5657.4	5233	6013.4	4801.2	5017.6	5138.2	5138.2	6420.8	5438.8	5379	5814.6	5436.8	5357.8	5516.4	5467	5700.4	5851	5297.2	5465	5289	5467.6	5485.6	5444	5491	5444.8	5074.2	6022.4	6220.2	6009.4	6007	5859.8	5800	5500.2	4355.4	4296	4208.2	4402.6	4369	4603	4508	4261.8	4274.6	4737.4	4681.8	4749.8	4770.8	4834	4686.2	4623.8	4940.6	4257.6	4708	4650.6	4624.8	4772.8	4924.6	5368	4377	4960.2	4546.6	4874.8	4908.4	5362.8	6902.8	5250.2	3952	5197.4	6047.2	5550.4	5603.6	7444.6	5366.8	5255.8	3088.6	3918.8	4657.6	4652	4457.6	4938.8	4849.2	926.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 5:46:00 PM	24	4365.8	4434.8	4783.4	4713.8	4512.4	4982.8	5269.8	4833	4881.4	5602.6	6868.8	6268.8	5391.2	6702.2	5633.8	5768.6	5279.8	5987.2	4702.6	4922	5094	5121.8	6439	5505.6	5479.8	5872.8	5427.2	5319.4	5543	5485.4	5812.6	6021.6	5320.4	5544.4	5232.8	5422.2	5536	5419	5533.4	5643.2	5352.4	6327.4	6490.6	6268.6	6278.2	6119	6107.2	5836.8	4301.8	3961.6	3848.4	4129.6	4033.4	4368.6	4282.2	4141.2	4353	4574.6	4512.2	4585.4	4603.8	4796	4599.6	4601	5016.6	4116.2	4547	4512.6	4485	4718.8	4844.2	5350.4	4544	4997.2	4548	4923.6	4919	5453.2	6930.2	5360.4	4101	5195.8	6101	5597.8	5638.2	7598	5492	5395.2	3211	4182.2	4907.2	4928	4742.6	5242.8	5130.8	989.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 8:46:00 PM	27	4296	4300.6	4582.4	4610.6	4315.2	4814.6	5138.2	4772.2	4869.4	5656.2	6761	6204.4	5350.4	6706.8	5641.8	5829.4	5246	5975.2	4556.4	4816.4	5044	4955.8	6360.2	5603.2	5534.4	5949.4	5327.4	5271.8	5543	5440.4	5860.2	6223.4	5333.6	5609.8	5130.2	5370.2	5559.2	5371.8	5598	5870.8	5641.8	6611.2	6723.8	6504.2	6487.2	6386.6	6452.8	6173.8	4262.2	3495	3395.2	3778.4	3643	4117.8	4081.2	3971.8	4447.4	4377.4	4314.2	4398.4	4394.4	4725.6	4543.2	4560.6	5075	3939.4	4393.8	4327.8	4300.8	4667.2	4795.2	5291.8	4686.6	4997	4605.8	4942	4913.4	5561.4	7022	5462.4	4179.4	5177.4	6100	5657.2	5672.4	7743.2	5524.2	5473.6	3327	4383.4	5204.4	5217.8	5034.2	5607.6	5469.6	1057.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
