Vessel Name: TCSL248_wk0Incucyte_DBG
Metric: Total Red Object Area (µm²/Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis_Copy

Date Time	Elapsed	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12	A1 (Std Dev Well)	B1 (Std Dev Well)	C1 (Std Dev Well)	D1 (Std Dev Well)	E1 (Std Dev Well)	F1 (Std Dev Well)	G1 (Std Dev Well)	H1 (Std Dev Well)	A2 (Std Dev Well)	B2 (Std Dev Well)	C2 (Std Dev Well)	D2 (Std Dev Well)	E2 (Std Dev Well)	F2 (Std Dev Well)	G2 (Std Dev Well)	H2 (Std Dev Well)	A3 (Std Dev Well)	B3 (Std Dev Well)	C3 (Std Dev Well)	D3 (Std Dev Well)	E3 (Std Dev Well)	F3 (Std Dev Well)	G3 (Std Dev Well)	H3 (Std Dev Well)	A4 (Std Dev Well)	B4 (Std Dev Well)	C4 (Std Dev Well)	D4 (Std Dev Well)	E4 (Std Dev Well)	F4 (Std Dev Well)	G4 (Std Dev Well)	H4 (Std Dev Well)	A5 (Std Dev Well)	B5 (Std Dev Well)	C5 (Std Dev Well)	D5 (Std Dev Well)	E5 (Std Dev Well)	F5 (Std Dev Well)	G5 (Std Dev Well)	H5 (Std Dev Well)	A6 (Std Dev Well)	B6 (Std Dev Well)	C6 (Std Dev Well)	D6 (Std Dev Well)	E6 (Std Dev Well)	F6 (Std Dev Well)	G6 (Std Dev Well)	H6 (Std Dev Well)	A7 (Std Dev Well)	B7 (Std Dev Well)	C7 (Std Dev Well)	D7 (Std Dev Well)	E7 (Std Dev Well)	F7 (Std Dev Well)	G7 (Std Dev Well)	H7 (Std Dev Well)	A8 (Std Dev Well)	B8 (Std Dev Well)	C8 (Std Dev Well)	D8 (Std Dev Well)	E8 (Std Dev Well)	F8 (Std Dev Well)	G8 (Std Dev Well)	H8 (Std Dev Well)	A9 (Std Dev Well)	B9 (Std Dev Well)	C9 (Std Dev Well)	D9 (Std Dev Well)	E9 (Std Dev Well)	F9 (Std Dev Well)	G9 (Std Dev Well)	H9 (Std Dev Well)	A10 (Std Dev Well)	B10 (Std Dev Well)	C10 (Std Dev Well)	D10 (Std Dev Well)	E10 (Std Dev Well)	F10 (Std Dev Well)	G10 (Std Dev Well)	H10 (Std Dev Well)	A11 (Std Dev Well)	B11 (Std Dev Well)	C11 (Std Dev Well)	D11 (Std Dev Well)	E11 (Std Dev Well)	F11 (Std Dev Well)	G11 (Std Dev Well)	H11 (Std Dev Well)	A12 (Std Dev Well)	B12 (Std Dev Well)	C12 (Std Dev Well)	D12 (Std Dev Well)	E12 (Std Dev Well)	F12 (Std Dev Well)	G12 (Std Dev Well)	H12 (Std Dev Well)
11/8/2024 5:46:00 PM	0	902840	983916	979404.7	990396.1	981020.2	986124.3	991254	1003116	916249	962932.1	1074858	1047888	1002670	1074340	1008819	1013261	970060.3	1030193	963612.4	995017.6	992208.6	1025900	1079140	985524.5	972429.6	1058639	1046217	1009065	1019854	1036439	1017879	1011861	973103.4	958828.3	1063462	1017285	1002195	1034579	1032557	992070.8	852735	990030.9	1021847	995178.9	1008016	1000302	993478.2	982687.2	841768.2	976467.4	941376.9	943587.7	937851.2	967437.2	998287.9	920186.8	780647.6	927671	912578.3	932512	944531	958633.4	974612.5	939350.6	839015.5	883418.5	898123.4	902052	878539.7	906752.1	960956.2	974522.5	720638.8	852593.5	847061.1	888845	902238.3	960548.3	1068012	922922.3	686313.6	851729.7	916385.8	883075.8	879428.6	1056528	907137.1	884577.3	560133.9	637819.9	755963.3	780987.1	746501.1	789890.4	771856.8	610486.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/8/2024 8:46:00 PM	3	965400.4	942839	1038353	1042471	1035235	1042274	1046572	1054767	973009.9	1021830	1133068	1100764	1062159	1127563	1063639	1068890	1018598	1094506	1024041	1039334	1044881	1079474	1131751	1045032	1037373	1115112	1111070	1062273	1070975	1091184	1072506	1068326	1037697	1012135	1131532	1070341	1052953	1092870	1088919	1056395	923454	1058269	1077416	1054068	1068524	1059470	1054670	1037171	907293.4	1039377	999886.5	991539.1	986990.6	1021917	1046307	967372	844319.5	981874.5	964981.3	977760.2	993011.4	1013659	1032954	984324.5	899569.1	945648	948672.2	949485.6	934076.6	965405.4	1022109	1029432	790991.6	921168	901887.3	942128.7	956246.1	1020110	1121644	978126	754868.9	905289.1	972967.8	935542	940674.3	1116236	967231.8	948489.6	612071.2	697871.9	821569.3	838621.5	809791.6	843855.2	835054.8	345833.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/8/2024 11:46:00 PM	6	1034778	962467.8	1087274	1099337	1091523	1096346	1101976	1112065	1026019	1075334	1188641	1155597	1115571	1178069	1108421	1118436	1060533	1148232	1082592	1081279	1089288	1130285	1186209	1093680	1095124	1161166	1147863	1100733	1116623	1136316	1121496	1118518	1095325	1058063	1167986	1110023	1100139	1126065	1138252	1104087	977268.7	1107753	1125392	1101637	1115193	1110412	1104590	1095343	960934	1098031	1059797	1033469	1033149	1069601	1090683	1020716	903618	1036543	1018178	1020418	1041816	1058981	1082336	1039853	961006	1014664	1005001	994512.2	980993	1011486	1065713	1090069	861208	987204.2	960230.8	992959.1	1005852	1073741	1166564	1041762	821926.8	968569.8	1036517	993087.2	993105.5	1167352	1022298	1013817	670539.9	756765.2	882407.6	903757.6	872312.2	897590.8	893454.5	296056.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 2:46:00 AM	9	1075542	966787.3	1121166	1122357	1124462	1131654	1135450	1145089	1063345	1118146	1218596	1189782	1154966	1214509	1152030	1156113	1103571	1183150	1113630	1125522	1133380	1164497	1220496	1136476	1137696	1201268	1187456	1134410	1169343	1179313	1163051	1160157	1137087	1104836	1216963	1143270	1140676	1167004	1178872	1155407	1028553	1157307	1169778	1146613	1156717	1160647	1148621	1143503	1005036	1108208	1069155	1059474	1061093	1096602	1116914	1059468	951279.5	1074382	1053752	1056697	1079377	1101607	1120627	1080843	1009926	1047329	1045365	1032077	1016462	1047806	1111019	1127547	917924.1	1029105	1006269	1038186	1051662	1117724	1212382	1084122	876931.6	1016001	1086060	1040446	1040350	1207191	1071124	1060734	727438.9	816041.2	949987	970268	925621.2	950394	947360.2	268462.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 5:46:00 AM	12	1085640	965605.6	1120731	1128178	1132661	1140276	1152760	1162361	1087087	1148947	1235196	1212079	1179815	1238655	1179066	1188737	1125768	1209347	1133791	1154353	1159707	1184414	1243465	1166630	1169047	1231306	1223652	1172714	1198978	1213655	1196228	1196180	1169567	1140542	1233749	1180076	1175464	1205616	1210589	1192654	1079607	1198616	1209423	1184712	1197586	1201210	1194476	1181958	1028403	1107879	1061710	1059369	1060948	1098111	1114231	1072433	992115.4	1101341	1073397	1081604	1103594	1126479	1143414	1111644	1049017	1068675	1067938	1056020	1045268	1082305	1135116	1159965	970547.8	1072805	1040969	1072788	1086099	1155966	1241747	1121862	929880.9	1047693	1118195	1075715	1074805	1237201	1109918	1097460	782862.8	877760.7	1004107	1013384	983448.3	995098.4	994691.4	256713.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 8:46:00 AM	15	1094588	949606	1116245	1125687	1129697	1139510	1152721	1167724	1096799	1162267	1238474	1225359	1193961	1253723	1192358	1207869	1130560	1218083	1136628	1158890	1169354	1189736	1255954	1188289	1195565	1257478	1238485	1200751	1221348	1230559	1220900	1223764	1195183	1165119	1269492	1201067	1197621	1229359	1241320	1222706	1125242	1234651	1245982	1225839	1233677	1245745	1229893	1223418	1036798	1090843	1043277	1042107	1031456	1088610	1103752	1075014	1020406	1102811	1072996	1090932	1103248	1136612	1153822	1138946	1077863	1067601	1069892	1066913	1056308	1094530	1151054	1176368	1006992	1093622	1062190	1095523	1107634	1181721	1272117	1158172	964575.6	1071408	1143934	1103708	1100847	1263541	1133286	1134054	832288.4	930213.9	1055755	1069990	1030022	1035747	1041181	261561.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 11:46:00 AM	18	1091708	941141.6	1105174	1119308	1110256	1138922	1153871	1163584	1109604	1164628	1234836	1224431	1191723	1251544	1195527	1220183	1134588	1222929	1130039	1154118	1168783	1185792	1258011	1203869	1208267	1271607	1265352	1204141	1231854	1247770	1237059	1250450	1207953	1188373	1266403	1212196	1209534	1228817	1257708	1248254	1179969	1288126	1283346	1259945	1273709	1273241	1264790	1266765	1036427	1036624	994190.6	1010564	997228.7	1059071	1091561	1055612	1036868	1075866	1064521	1073547	1090622	1131106	1172900	1141244	1096180	1054747	1063873	1055583	1046771	1094077	1158452	1178314	1039804	1108165	1076361	1104676	1115056	1189392	1294334	1174521	988973.3	1090803	1155238	1113603	1115042	1276118	1158165	1151752	885604.2	979404.3	1129856	1111646	1082449	1091576	1082874	269422.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 2:46:00 PM	21	1092960	932604.2	1099108	1118529	1099422	1128573	1152234	1166594	1106669	1169598	1226019	1214951	1179586	1244256	1196964	1226217	1137199	1217085	1110615	1143052	1156199	1175139	1258379	1212009	1225884	1278318	1258767	1205121	1239195	1248773	1245063	1274177	1220021	1199381	1252322	1217095	1219999	1232210	1264366	1271678	1215974	1317652	1311942	1287357	1305511	1308124	1299038	1298087	1032799	970556.8	924048.9	967083.2	945125.6	1031634	1057604	1029727	1056279	1058788	1039737	1051979	1065966	1115782	1160180	1124672	1105675	1031354	1041801	1034715	1026199	1089023	1157098	1178488	1071385	1105055	1080238	1112240	1116623	1205769	1301893	1187070	1014797	1090706	1155193	1116830	1121597	1291724	1179841	1162687	915225.5	1026024	1171510	1162566	1125082	1136240	1126592	279295.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 5:46:00 PM	24	1093064	920953.2	1074653	1110556	1080833	1109719	1143662	1161264	1108808	1160819	1205849	1204498	1165745	1235305	1195075	1233493	1136289	1208208	1091285	1127780	1140254	1157597	1249145	1215638	1224799	1270978	1238567	1195575	1237162	1244299	1247175	1289725	1222278	1201981	1247600	1208113	1217591	1229250	1267978	1291602	1254467	1343835	1336707	1315583	1329877	1333419	1331446	1335157	1023560	900344.1	842306.2	912155.5	874921	992904.7	1015118	1001572	1060435	1024505	1007258	1015807	1028247	1100195	1147137	1108773	1108568	1001555	1009844	1001363	993427.4	1076185	1143737	1168166	1090349	1101242	1071979	1106452	1106301	1220396	1302236	1195729	1024616	1082548	1151242	1115845	1124744	1296514	1184112	1172201	933066.9	1053095	1208198	1191353	1158051	1175237	1162035	296035.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/9/2024 8:46:00 PM	27	1074008	906858.6	1045974	1090754	1059353	1086619	1120542	1149518	1100795	1154391	1184916	1199244	1156857	1220176	1182716	1234264	1126017	1199702	1055008	1098796	1127433	1129672	1239324	1215144	1224493	1271793	1235945	1184917	1233395	1233151	1247877	1304765	1219272	1197810	1238921	1193908	1213713	1215501	1264361	1307683	1280135	1368881	1362902	1340892	1352276	1355305	1364117	1364052	1013674	811176.7	751102.5	838151.4	785612.1	942616.4	974208.3	973028.8	1070091	986575.9	963576.2	971768.2	979541.1	1084834	1128020	1111028	1123179	955562.4	974456.2	962123.4	951771.3	1063621	1131007	1154370	1111298	1104816	1071355	1098483	1097530	1220498	1313449	1202069	1041179	1081953	1151968	1110715	1124489	1304396	1184237	1181383	953756.2	1100725	1244250	1225345	1200609	1216236	1205099	311210.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
