Vessel Name: 20241116_tcsl248_wk1_incucyte_DBG
Metric: Red Object Count (Per Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B2 (Std Err Img)	C2 (Std Err Img)	D2 (Std Err Img)	E2 (Std Err Img)	F2 (Std Err Img)	G2 (Std Err Img)	B3 (Std Err Img)	C3 (Std Err Img)	D3 (Std Err Img)	E3 (Std Err Img)	F3 (Std Err Img)	G3 (Std Err Img)	B4 (Std Err Img)	C4 (Std Err Img)	D4 (Std Err Img)	E4 (Std Err Img)	F4 (Std Err Img)	G4 (Std Err Img)	B5 (Std Err Img)	C5 (Std Err Img)	D5 (Std Err Img)	E5 (Std Err Img)	F5 (Std Err Img)	G5 (Std Err Img)	B6 (Std Err Img)	C6 (Std Err Img)	D6 (Std Err Img)	E6 (Std Err Img)	F6 (Std Err Img)	G6 (Std Err Img)	B7 (Std Err Img)	C7 (Std Err Img)	D7 (Std Err Img)	E7 (Std Err Img)	F7 (Std Err Img)	G7 (Std Err Img)	B8 (Std Err Img)	C8 (Std Err Img)	D8 (Std Err Img)	E8 (Std Err Img)	F8 (Std Err Img)	G8 (Std Err Img)	B9 (Std Err Img)	C9 (Std Err Img)	D9 (Std Err Img)	E9 (Std Err Img)	F9 (Std Err Img)	G9 (Std Err Img)	B10 (Std Err Img)	C10 (Std Err Img)	D10 (Std Err Img)	E10 (Std Err Img)	F10 (Std Err Img)	G10 (Std Err Img)
11/16/2024 3:43:00 AM	0	4469.4	5011	4379.2	4372.2	5575	4779.8	3529.8	3268.2	3310.4	3309.6	3398.4	4170.2	3310.4	3602.2	3610.2	3543.6	3442.6	3288	3923.6	3561.2	3040.4	3299	3288.4	3621.2	3444.4	3464	3034	3358.4	3226	1934.8	3956.6	3529.8	2902.4	3205.4	3225.8	1634.6	4285.4	3338	3354	3366.2	2886.2	624.8	3280.8	3742.6	3848.4	4135.6	2720.8	831.8	3625.8	3292	3334.6	3292	2715.6	3177.4	171.1223	450.405	85.0561	304.8256	241.5347	276.8092	246.1137	107.0675	79.52899	82.70284	99.43822	388.6707	115.0403	101.6634	118.8383	88.89128	98.35578	72.28555	16.59096	146.6149	76.82942	72.39545	44.57645	99.81954	164.2317	95.51807	56.83045	37.24459	28.8184	285.9065	218.2209	112.2174	64.67117	47.65984	101.6791	239.5625	106.5559	84.80271	96.77087	81.28308	47.03445	218.7808	54.33544	142.1104	164.0072	231.9551	87.84612	257.6795	265.5936	97.08141	63.79702	62.43717	119.1581	336.4085
11/16/2024 6:43:00 AM	3	4875.4	5380.8	4720.8	4742	5939.6	5134.4	3850	3565	3614.2	3606.2	3685	4553.4	3623.2	3885.4	3907.8	3840.4	3705.6	3657	4229.4	3907.6	3323.6	3615.2	3607.8	3975.4	3701.8	3846.8	3340.8	3639.2	3541	1938.4	4251.8	3860	3195	3417	3532.2	1639	4662.8	3601	3691.2	3684.2	3134.4	511.8	3664.6	4041.8	4178.2	4431.4	2709	666.8	3980.6	3604.4	3672.2	3585.4	2985.8	3154.4	194.087	445.4808	63.91119	323.9475	252.7694	296.3649	239.2979	115.4781	78.21982	73.37534	99.80981	414.9383	122.3121	93.18616	114.316	93.80331	118.3033	90.98186	42.72423	154.0856	86.66522	91.06942	52.2067	108.5369	164.4535	93.58387	66.64113	47.12685	36.38544	323.1953	244.2252	122.4345	73.09924	65.47289	114.2009	262.4915	101.8977	81.59779	104.0055	87.45821	53.36441	225.6532	79.22664	132.9998	164.3221	211.8959	124.4387	259.1134	277.046	94.95925	55.54584	37.47346	108.6731	383.3605
11/16/2024 9:43:00 AM	6	5281	5824	5155	5150.6	6260.6	5543.4	4218	3937.8	3954.4	3947.2	3983.4	4933.4	3979.4	4266.8	4276.8	4179.2	4009.8	3999	4543.8	4321.4	3642.6	3942.2	3935	4310	4033.4	4333.8	3678.2	3985.6	3842.8	2085.8	4613.6	4320	3486.2	3725.2	3864.6	1770.2	5086.6	4027.2	4067.6	4060	3408.2	536.4	4001.6	4469	4614.6	4832.2	2942.2	714.2	4378	3967	4094.2	3916.6	3257	3385.8	211.4944	462.4827	44.95108	321.1938	250.0345	304.1277	258.4444	125.2276	75.36418	90.13845	111.4094	426.0872	139.2604	100.6844	141.0349	96.42479	119.2298	94.61818	33.49537	172.9129	97.71418	109.7913	48.66929	110.2384	163.8507	107.0128	80.20124	52.33221	45.18783	353.6118	245.4098	134.1167	86.08275	73.7451	135.856	289.9413	137.0126	105.2209	105.0983	95.15408	67.55694	244.9175	85.94394	146.9779	187.1995	213.5529	137.9871	280.167	316.6222	115.8952	65.66841	30.3819	114.4635	414.1791
11/16/2024 12:43:00 PM	9	5811.6	6362.8	5711.2	5624	6749	6048.8	4658.2	4438.4	4405.6	4367.4	4477	-4.294923E+08	4427.2	4819.2	4800.2	4644.4	4515.6	4422.8	5083.8	4858.4	4114.6	4327.4	4341.2	4791.2	4471.2	4894	4160.8	4434.2	4289	2236	5089.2	4815.6	3917	4062.6	4288.6	1933.2	5606.2	4462	4537.8	4534.2	3752.6	572.6	4495	5025.6	5164.8	5370	3207.6	774.2	4884.4	4478.8	4609	4368.4	3604.6	3696.4	204.4736	469.7216	57.5373	317.5062	263.7091	320.7387	289.2809	141.5502	84.62069	105.9116	128.464	4.294979E+08	135.7366	117.7949	170.3295	94.42384	107.3236	113.6448	42.20592	183.5186	105.0941	130.2957	46.38039	138.6753	195.2164	114.0759	93.99649	46.90352	55.11533	393.7451	247.428	153.0348	108.8628	87.65706	144.5934	305.4357	138.9102	98.97828	119.2801	105.5535	60.00883	252.4232	102.5958	162.9434	178.8031	228.1635	146.749	305.5332	336.9158	123.1817	67.89993	44.91837	115.5316	496.9156
11/16/2024 3:43:00 PM	12	6384	6909.2	6256	6157.6	7284.2	6606	5180.2	4960.6	4906.8	4836.8	5014.2	5933.4	4910.6	5344.4	5258.2	5114.2	5010.2	4863.8	5580.4	5443.2	4615.4	4826	4840.2	5302.2	5029.8	5444	4650.2	4917.8	4793.2	2434	5638.6	5380.6	4444.4	4469.8	4776.6	2075.2	6172.2	4954.2	5091.4	5037.8	4189.8	631.8	5021	5592.4	5675.8	5959.4	3576	840	5421	5013.4	5097.2	4828	3994	4036.6	196.049	450.0903	56.61095	322.3254	224.7664	300.944	311.6439	136.3465	101.0235	108.7366	117.8123	442.3852	145.8793	109.7254	152.7627	112.4141	137.9864	121.5757	22.6751	185.5938	111.7903	131.7949	54.8	152.6196	199.3465	124.2031	128.7119	67.12778	52.32533	434.3515	270.3987	167.9463	121.947	89.83173	139.2152	346.9662	130.6015	106.3952	131.9532	103.1724	57.0214	274.5446	95.173	167.8278	184.4932	220.7384	161.9034	330.7054	321.886	125.7094	70.73288	68.09185	165.9075	492.669
11/16/2024 6:43:00 PM	15	6840.4	7399.8	6703.6	6651.8	7615.8	7011	5653.8	5419.4	5342.2	5233	5481.2	6304.4	5367.6	5833.4	5719.2	5543	5533	5201.2	6060.4	5958.4	5085.8	5250.8	5289.2	5713.6	5504.2	5958.4	5097.4	5347.8	5209	2583	6145	5898.6	4865.8	4880.4	5223.8	2240.6	6620	5436.8	5559.4	5508.2	4597.4	708.4	5523.8	6085.6	6222.8	6426.6	3872.4	930.2	5937.8	5500.4	5595	5342	4442.2	4380	204.3193	458.6488	77.10357	338.6257	238.052	289.6936	311.2564	156.2887	102.3364	107.8995	148.7829	433.0597	153.4052	118.195	153.705	117.2212	136.2318	151.1163	48.65244	199.1461	143.2806	129.6192	73.79052	154.094	205.7726	121.1035	131.9646	55.96195	64.59102	461.8057	263.5487	157.7563	118.8425	96.17204	154.2658	385.7578	112.3775	121.8895	144.1231	115.2859	66.32088	300.0417	94.98389	148.1444	175.033	220.9961	174.4077	356.1942	331.9773	146.2421	85.81434	60.53098	142.5122	529.1347
11/16/2024 9:43:00 PM	18	7260.4	7809.8	7143.8	7117.6	8019.8	7298.2	6140.8	5848.4	5795.2	5674.6	5955.4	6650	5777.2	6278.6	6218.8	5956	6053.2	5504.6	6546.2	6508.4	5604	5699	5756.2	6146	6011.4	6480.8	5585.2	5762	5669.8	2743.8	6675.4	6425.6	5359.6	5272.8	5703.8	2403.4	7063	5910	6022.2	6008.8	5030	790.4	6015	6600.2	6690.2	6915	4196.4	1029.2	6394.4	5990.4	6099	5866.6	4853.4	4707.8	194.9812	431.1569	50.12923	358.6133	246.2465	299.9492	333.5378	165.1886	113.3823	99.58394	156.2487	443.5244	157.9292	110.4847	164.1799	127.428	132.733	151.7981	34.48971	201.6275	148.237	141.1566	80.49683	164.9206	212.8341	132.5633	117.4412	67.32681	58.23178	495.9914	285.1062	167.4827	135.373	118.7533	163.9897	418.9466	132.1355	131.6032	148.3703	137.1315	64.2394	332.2933	73.23045	140.8224	185.1555	210.1431	196.9859	385.2504	319.6795	140.3719	79.42355	56.85385	157.9274	551.9713
11/17/2024 12:43:00 AM	21	7657	8094.2	7592	7561.4	8407.8	7546.4	6579.4	6262.4	6251.4	6129.6	6460	6919.6	6195.8	6707.2	6615.2	6440	6511.4	5726.4	7040	7025.2	6087.8	6173	6235.4	6628.2	6507.4	6993.2	6088.6	6171.6	6147.4	2951	7125.6	6958	5863.8	5694	6171.2	2565.8	7519.8	6429.2	6534.6	6511.2	5489.4	860	6467.2	7049.4	7210.2	7409.8	4572.8	1121.4	6865.2	6521.2	6573	6365.2	5289.6	5094.8	191.5753	432.5047	31.02741	346.3857	223.374	325.0436	336.2538	158.4754	108.4231	103.6265	133.4305	409.6678	167.4594	95.78956	168.0471	155.6422	158.2102	145.3219	44.33734	201.6711	148.4232	131.4584	91.30421	191.6297	234.9227	125.658	141.4697	90.13135	57.50617	534.1864	256.5012	174.5139	141.775	111.9227	183.9373	453.1007	119.1404	135.1678	152.3449	169.5613	69.307	368.2917	67.93923	133.7201	188.676	195.1493	222.5773	413.1894	315.9125	138.2922	97.44178	63.6894	160.1482	566.79
11/17/2024 3:43:00 AM	24	8029.2	8489.6	8013	7967.8	8807.6	7776.4	6990.4	6727.6	6652.8	6568	6946	7213	6641	7064	6973	6800	7011.6	5963.4	7495.4	7494.4	6556.6	6643.4	6732.6	7148.6	6957	7483.2	6623.2	6650	6626.4	3237.2	7534.6	7533.4	6339	6108.2	6640.4	2783.2	7976.6	6900.6	7031.6	7045	5954	937.8	6932.8	7569.8	7608.6	7914.6	4975.4	1230	7332.6	7026.6	7097.8	6892.8	5786.2	5476.2	189.1241	389.4393	30.70342	334.26	199.7114	308.8227	348.2372	149.4495	108.6837	128.8266	136.2211	399.2581	171.3832	110.8905	159.2674	162.1996	172.3298	169.33	44.04498	222.8386	162.6679	136.3839	91.25053	184.3927	251.5643	135.2314	128.0306	84.02023	62.37436	586.8193	244.0899	167.5931	135.1625	117.2712	180.9692	489.6468	103.1342	139.3071	132.8031	147.9649	68.97173	396.5984	56.91256	134.9153	187.5403	169.1501	231.979	442.1324	294.407	150.8074	102.3716	64.99876	170.1406	599.641
11/17/2024 6:43:00 AM	27	8314.8	8856.2	8424.6	8371.4	9119.2	7915.2	7404.6	7187	7085	7034	7487.6	7349.2	7028.2	7452.4	7478	7253.8	7523.4	6193.2	7981.6	7988	7148	7138.8	7262.4	7661	7421.4	8092.6	7190.2	7183.4	7146.8	3578.6	8021.6	8054	6892.4	6597	7167.4	3123.6	8424.8	7456.8	7607.8	7613.6	6479	1055.8	7508.6	8094.6	8145.8	8414	5502.8	1368.4	7851.2	7608.2	7733.4	7444.6	6269.8	5915.2	175.1512	359.5044	43.8869	311.3626	199.2095	310.7863	323.7478	155.377	138.537	137.9449	153.5443	396.084	156.6686	99.80711	167.5676	189.4963	169.8027	184.9988	50.49911	222.1675	166.0928	128.8986	96.73138	199.1248	221.5513	115.686	114.1882	67.05714	61.98177	624.9252	233.1387	163.7767	145.9111	119.0911	175.5926	541.87	94.26261	138.737	144.3196	134.5484	63.54919	441.4438	76.50137	120.0436	174.2451	149.7912	237.8168	482.5536	285.4245	159.167	92.04759	83.34122	218.6096	604.5304
