Vessel Name: 20241116_tcsl248_wk1_incucyte_DBG
Metric: Total Red Object Area (µm²/Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B2 (Std Err Img)	C2 (Std Err Img)	D2 (Std Err Img)	E2 (Std Err Img)	F2 (Std Err Img)	G2 (Std Err Img)	B3 (Std Err Img)	C3 (Std Err Img)	D3 (Std Err Img)	E3 (Std Err Img)	F3 (Std Err Img)	G3 (Std Err Img)	B4 (Std Err Img)	C4 (Std Err Img)	D4 (Std Err Img)	E4 (Std Err Img)	F4 (Std Err Img)	G4 (Std Err Img)	B5 (Std Err Img)	C5 (Std Err Img)	D5 (Std Err Img)	E5 (Std Err Img)	F5 (Std Err Img)	G5 (Std Err Img)	B6 (Std Err Img)	C6 (Std Err Img)	D6 (Std Err Img)	E6 (Std Err Img)	F6 (Std Err Img)	G6 (Std Err Img)	B7 (Std Err Img)	C7 (Std Err Img)	D7 (Std Err Img)	E7 (Std Err Img)	F7 (Std Err Img)	G7 (Std Err Img)	B8 (Std Err Img)	C8 (Std Err Img)	D8 (Std Err Img)	E8 (Std Err Img)	F8 (Std Err Img)	G8 (Std Err Img)	B9 (Std Err Img)	C9 (Std Err Img)	D9 (Std Err Img)	E9 (Std Err Img)	F9 (Std Err Img)	G9 (Std Err Img)	B10 (Std Err Img)	C10 (Std Err Img)	D10 (Std Err Img)	E10 (Std Err Img)	F10 (Std Err Img)	G10 (Std Err Img)
11/16/2024 3:43:00 AM	0	972114.8	1041446	991040.2	996353.5	1055051	1010573	929131.9	933199.1	929459	935738.3	947600.1	977789.6	913981.6	956086.8	947701.9	959451.4	936258.6	917565.9	967460.8	963228	870962.4	924504.1	924169.2	952886.4	906202.1	932101	855189	912276.8	920551.7	501815	943863.8	917655.1	834276	893010.1	890306.2	426529.5	961385.2	891881	904556.5	935651.9	858776.2	184643.5	884115.8	915911	941652	974748.4	763828.1	225685.8	908961.6	875074.2	898299.2	884861.1	795256.9	793207.4	22636.49	36373.77	6005.71	24641.69	31050.25	20787.02	23814.21	15734.91	8917.751	13469.62	13573.55	30922.74	12879.67	10655.54	10865.73	9998.891	14657.61	8286.327	6721.495	19560.14	11033.58	9729.894	13214.51	17080.19	21189.2	16898.85	12680.19	4799.717	10354.8	82604.56	22594.04	22282.34	10920.03	8073.431	19907.71	69595.49	15269.98	13627.55	15364.59	19595.4	11709.02	67963.7	9521.222	14168.56	22518.93	27716.49	30015.1	73647.54	21746.72	14853.02	11586.24	12872	39148.83	54555.98
11/16/2024 6:43:00 AM	3	1038523	1105857	1060008	1057369	1122290	1078417	982653.8	989328.6	986254.3	987092.4	1005579	1042509	965822.9	1011676	997494.3	1012017	996287.2	983219.3	1024024	1019432	921767.2	979166	989147.6	1015463	961029.3	995236.2	905187	967770.9	989624.8	521556.8	996970.3	978115.8	886753.4	941180	946398	440853.8	1018819	951750.2	960303.5	983554.8	904467	162354.1	941703.7	972125.4	993342.3	1023047	795120.1	199749.9	963819.1	927529.3	953653.7	939135.4	859336.7	825850.4	21944.9	33720.11	3842.537	23060.68	30402.69	21129.2	25461.43	15406.49	10222	13669.77	11144.04	32148.08	15481.3	10479.88	10511.93	8707.907	15744.97	6564.663	10995.86	20442.4	12250.29	10069.27	16199.19	14580.75	18919.38	15728.69	12730.62	5758.113	14135.63	92855.87	22716.2	21064.69	10519.58	9407.88	20770.52	78302	13215.56	14082.69	15623.74	19172.6	12752.95	72806.45	8778.362	14615.54	19773.55	23154.8	33331.66	78842.98	24018.98	13885.67	9048.56	12711.26	33794.59	62748.87
11/16/2024 9:43:00 AM	6	1111314	1178859	1123331	1123716	1180629	1135601	1044179	1058663	1045367	1042994	1068408	1095498	1029397	1072056	1048603	1066290	1051609	1038856	1089181	1090762	986222.1	1034638	1043713	1078712	1018526	1084590	969260.9	1027923	1049440	571656.2	1055467	1055123	953312.3	995789.6	1008621	474238.9	1082808	1019046	1036847	1045992	961054	169854.1	1001590	1039979	1070125	1080234	836163.1	210039.1	1019749	999046.5	1023540	997653.1	907134.7	868942.9	17572.46	30395.9	4527.262	22209.63	27442.79	21081.13	24344.28	14505.05	8429.332	14267.52	11937.37	31006.17	13662.09	12180.54	11436.71	9369.392	11167.78	6388.582	7855.389	21659.32	12927.85	12233.71	16782.89	14932.25	18846.11	15036.76	12359.29	6457.977	15887.95	98172.24	25958.68	20415.25	14371.64	10626.45	21429.86	82147.35	16265.08	15071.46	14297.03	20547.8	9506.741	77280.83	8668.032	12746.35	21327.97	22403.46	33198.52	82713.77	23810.48	13115.43	9106.762	12873.33	32270.78	66631.75
11/16/2024 12:43:00 PM	9	1167527	1234170	1180118	1176592	1233649	1185991	1103128	1115373	1100172	1096695	1125279	1150260	1082885	1132824	1119725	1128940	1117696	1083303	1145942	1170177	1050365	1098292	1101955	1138403	1091674	1155749	1039098	1083871	1111198	616134.1	1127318	1127024	1020312	1050617	1072604	523589.9	1148988	1082620	1102927	1106514	1030737	181993.2	1064230	1109809	1132585	1143494	891076.9	222671.6	1079948	1064065	1095479	1058123	973083	917893.1	17568.33	27813.49	3797.45	21586.58	26378.87	17440.64	22678.54	12688.87	8815.771	11995.84	11188.62	38975.83	12881.65	10618.75	11938.79	10748.48	7819.142	6762.997	5477.708	20524.18	13651.63	12566.76	13182.86	15570.03	15657.74	15852.63	12567.55	3226.931	17484.24	102581.5	21194.14	19052.22	13957.93	11357.47	20423.51	84598.3	14466.13	12460.93	13592.63	17840.77	11585.14	79590.27	8897.823	11641.71	19316.48	21226.86	34758.99	87207.18	23872.66	13777.45	11356.14	10068.54	33021.38	69922.19
11/16/2024 3:43:00 PM	12	1219928	1280350	1227784	1225867	1286343	1227950	1153434	1164669	1149607	1145793	1183745	1189742	1130338	1181565	1162641	1179258	1174472	1124181	1197117	1225592	1116847	1156271	1163749	1192070	1141164	1213891	1100768	1138355	1161298	659840.9	1184426	1188920	1086296	1104312	1130207	558121.9	1202054	1144614	1162126	1169049	1099435	196839	1122305	1172143	1200632	1210751	951695.2	241666.6	1133374	1125795	1151353	1120915	1022522	975481	15194.2	28569.72	6337.617	21620.89	24800.6	18909.07	22090.71	13855.53	8713.914	12038.25	10796.33	28449.69	11019.98	8793.213	10062.49	12192.93	11444.34	8479.429	6342.3	19151.37	11472.94	11656.93	15506.73	12974.1	19119.89	13226.92	12924.81	5696.066	12099.29	105246.7	19265.04	18894.34	12463.28	9491.351	16282.37	87050.21	12556.85	10676.42	13625.82	16082.25	14992.84	85454.33	8520.289	11359.98	19651.37	22527.17	36681.48	94002.7	22892.71	11801.3	10548.95	14159.5	39040.14	71225.91
11/16/2024 6:43:00 PM	15	1271093	1330824	1281767	1281224	1331909	1270146	1207075	1218719	1205223	1196123	1243471	1231941	1185675	1238780	1213693	1225890	1236203	1165786	1254872	1285260	1178999	1203417	1213314	1243878	1204529	1275661	1164187	1189975	1219043	700982.1	1235697	1250579	1152233	1152438	1189296	603153.1	1253364	1205005	1219011	1223258	1153701	215291.1	1178709	1226815	1260183	1259756	1003700	256689.7	1190519	1186062	1209665	1181386	1084484	1024975	14617.2	24512.55	4532.206	18227.24	24978.54	18468.64	18839.55	11020.51	8357.738	13272.29	10937.72	27825.68	9493.196	10461.49	9256.169	13101.06	8762.474	9259.465	4984.648	16237.06	12200.84	12441.75	9732.313	13093.75	15729.97	13341.13	13326.03	4144.027	15363.9	105841	18462.78	17822.89	13159.08	12057.92	17159.86	88609.65	14254.01	11895.36	14384.23	17202.9	14596.49	90406.77	9065.372	8469.842	19554.25	18360.52	34956	97198.61	19891.2	12881.29	10014.6	12377.69	32082.81	69514.98
11/16/2024 9:43:00 PM	18	1319139	1375303	1329708	1329893	1379113	1305120	1254848	1274479	1253310	1247542	1300800	1272799	1236898	1285758	1260408	1270755	1287725	1201725	1308951	1331105	1243368	1256615	1272141	1290982	1252306	1325441	1228349	1244620	1275250	747749.6	1284803	1305629	1219324	1208698	1244705	642060.8	1298903	1259306	1276186	1281535	1213677	233771.1	1227289	1284773	1314723	1315160	1055845	279989	1241970	1241845	1264341	1242462	1146889	1083940	15625.25	19872.95	6251.888	21513.96	25041.48	14820.45	20697.05	10839.89	8032.063	13204.01	11602.35	26562.28	10402.68	6672.509	10353.92	12574.42	7007.78	8954.619	5369.516	16374.55	9890.496	11254.3	10802.94	13280.06	15221	13416.75	13758.96	5553.58	13306.88	108637	18885.33	16582.08	13037.58	11581.76	17960.75	92073.25	13947.83	12665.65	12835.46	17871.27	12523.7	95259.92	6209.738	7826.974	17093.82	16585.61	35558.38	102342.2	19030.56	13384.52	8642.401	13321.14	28481.41	69970.46
11/17/2024 12:43:00 AM	21	1361042	1420057	1369309	1375650	1417897	1340007	1299710	1321253	1292381	1288916	1347508	1309633	1284517	1321586	1303445	1315988	1330340	1234603	1354833	1374029	1294201	1304837	1317293	1342241	1298795	1369850	1283704	1290245	1321949	796953.9	1330593	1356729	1273038	1261622	1295416	684628.1	1352143	1308495	1323721	1333661	1258180	253221.3	1278046	1329264	1363741	1359263	1114757	307345.6	1288113	1293953	1312149	1292874	1197618	1138643	14106.84	18660.29	4753.098	17903.12	22139.23	15080.94	20464.72	8428.988	8316.713	13141.75	8399.319	24577.84	10753.77	5921.021	10371.25	12649.62	9675.264	12945.33	5148.147	17193.91	9588.678	9024.914	12232.08	12728.01	15491.72	11029.58	14332.3	5247.799	14405.1	111722.5	16840.81	15525.9	11781.8	9150.808	17303.72	96047.8	14662.43	10538.06	11625.25	16639.98	11292.2	104264.6	6464.04	6788.711	19222.51	13145.81	33842.26	109736.9	18668.16	10850.9	7860.912	12601.93	27841.62	68767.5
11/17/2024 3:43:00 AM	24	1397623	1441429	1405705	1406684	1446428	1355446	1340113	1355503	1336571	1334918	1385326	1328924	1318898	1367364	1354020	1358785	1377846	1258108	1390151	1418798	1340624	1353516	1359766	1379053	1352828	1415413	1335783	1336824	1364113	851023.4	1379961	1397596	1320499	1308282	1340263	729156.1	1390082	1357719	1370147	1379371	1308848	278084.9	1323698	1376710	1402526	1403264	1171474	337416.3	1334505	1340451	1361360	1344524	1247307	1192611	14025.95	16481.39	5295.902	15358.81	20251.62	15968.98	18508.07	10010.18	7492.607	10549.14	7663.37	22767.02	7192.218	8358.094	9114.492	13489.09	8220.471	13009.75	4310.509	13528.13	7964.46	8065.533	11456.16	12819.26	11818.94	11802.72	12377.79	4022.223	12972.38	112311.1	16304.11	12914.68	11679.53	8151.771	15685.91	97051.59	11027.93	11471.56	8883.104	14922.95	11920.44	112887.7	6605.417	6018.594	17641.45	11793.1	32763.96	115866.2	16378.97	10664.61	5464.278	13105.19	25611.15	64784.99
11/17/2024 6:43:00 AM	27	1425743	1469763	1437273	1434267	1470298	1375951	1377425	1391172	1378279	1371245	1423616	1347730	1354597	1398544	1390641	1394202	1418929	1278438	1424703	1457838	1385857	1391897	1398166	1416699	1393993	1451271	1377898	1377137	1405615	908640.4	1417616	1438834	1374347	1352475	1383500	795158.5	1424734	1400293	1412970	1425294	1358125	305794.7	1368046	1416070	1439277	1442019	1232875	369778.2	1374236	1386904	1407527	1387412	1295015	1243986	12362.96	12936.86	3983.835	13615.53	18066.34	14812.74	16434.73	6904.289	6778.208	10410.7	6362.451	24298.72	8611.658	4294.808	10064.01	14450.57	7055.132	14446.49	3773.078	12490.82	7144.236	8796.177	9791.237	12345.11	10139.09	11229.26	11318.56	3233.195	12782.69	113566.4	12413.19	9978.822	11720.67	6647.475	15068.68	100308.6	9288.104	10341.5	7393.009	13210.48	14465.1	119612.2	5479.498	4376.854	13771.91	10588.9	30897.54	124118.1	14664.6	9462.556	5225.504	11406.36	30534.95	61249.42
