Vessel Name: 20241212_TCSL250_wk0_ratio24
Metric: Red Object Count (Per Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis

Date Time	Elapsed	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	B1 (Std Err Well)	B2 (Std Err Well)	B3 (Std Err Well)	B4 (Std Err Well)	B5 (Std Err Well)	B6 (Std Err Well)	B7 (Std Err Well)	B8 (Std Err Well)	B9 (Std Err Well)	B10 (Std Err Well)	B11 (Std Err Well)	B12 (Std Err Well)	C1 (Std Err Well)	C2 (Std Err Well)	C3 (Std Err Well)	C4 (Std Err Well)	C5 (Std Err Well)	C6 (Std Err Well)	C7 (Std Err Well)	C8 (Std Err Well)	C9 (Std Err Well)	C10 (Std Err Well)	C11 (Std Err Well)	C12 (Std Err Well)	D1 (Std Err Well)	D2 (Std Err Well)	D3 (Std Err Well)	D4 (Std Err Well)	D5 (Std Err Well)	D6 (Std Err Well)	D7 (Std Err Well)	D8 (Std Err Well)	D9 (Std Err Well)	D10 (Std Err Well)	D11 (Std Err Well)	D12 (Std Err Well)	E1 (Std Err Well)	E2 (Std Err Well)	E3 (Std Err Well)	E4 (Std Err Well)	E5 (Std Err Well)	E6 (Std Err Well)	E7 (Std Err Well)	E8 (Std Err Well)	E9 (Std Err Well)	E10 (Std Err Well)	E11 (Std Err Well)	E12 (Std Err Well)	F1 (Std Err Well)	F2 (Std Err Well)	F3 (Std Err Well)	F4 (Std Err Well)	F5 (Std Err Well)	F6 (Std Err Well)	F7 (Std Err Well)	F8 (Std Err Well)	F9 (Std Err Well)	F10 (Std Err Well)	F11 (Std Err Well)	F12 (Std Err Well)	G1 (Std Err Well)	G2 (Std Err Well)	G3 (Std Err Well)	G4 (Std Err Well)	G5 (Std Err Well)	G6 (Std Err Well)	G7 (Std Err Well)	G8 (Std Err Well)	G9 (Std Err Well)	G10 (Std Err Well)	G11 (Std Err Well)	G12 (Std Err Well)
12/12/2024 6:49:00 PM	0	2443.8	2549.6	2561.2	2264.8	2233.2	2175	2094.8	2227.8	2217.8	2754.8	2744.8	2403.2	2259.6	3866.2	2315	2364.2	2238.6	2327.4	2247.8	2391	2362.6	2370.8	3836.4	2204.8	2213.8	3649.4	2361.2	2337.4	2370	2394.8	2318.8	2337.4	2399	2376.2	3129	2218.6	2102.4	2679	2379.2	2263.4	2328.2	2372.4	2345.8	2381.8	2322.2	2299.8	3234.6	2319.8	2151.8	3362.8	2195.2	2358.8	2227.8	2305	2348.6	2406.2	2381.4	2698.4	4428.4	2514.2	2299.8	2537	3368.6	2365.2	2281.6	2327.4	2281.2	2324.6	2438.2	3730.4	2771.4	2297.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2024 10:49:00 PM	4	2873	3039	3028.4	2672.6	2626.6	2591.6	2458.8	2630.4	2586	3217.2	3187.6	2804.6	2630.4	4490.2	2720	2800.6	2623.6	2757.6	2633	2803.2	2757.2	2779.2	4373.6	2632.8	2598	4172.2	2780.4	2761.6	2812	2809.2	2742.4	2760.4	2820.6	2774.2	3635.2	2607.8	2450.6	3165.4	2793.6	2677	2783.4	2777	2726.2	2793	2712	2723.4	3768.4	2757.2	2550	3890.6	2579	2753.4	2623.8	2694.8	2738.2	2815.2	2772.6	3144.6	4948.4	2895.6	2714.4	3018.2	3903	2755.2	2695.2	2744	2665	2719.8	2846	4199.4	3190.4	2632.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 2:49:00 AM	8	3264.2	3405.4	3420	3014.6	2943.8	2911.8	2777.4	2957.4	2940.6	3661.6	3618.8	3175.6	2999.8	4993.8	3093.6	3163	2976	3110.4	2970.8	3172.4	3117.8	3142	4823	2967.2	2944.4	4648.8	3163.4	3144	3147.2	3186.6	3091.2	3086.6	3194.2	3165.6	4023.6	2983.8	2782.4	3549.8	3152.8	3025.2	3140.2	3179.4	3106.6	3150.4	3073.8	3071.2	4222.2	3145.2	2914.6	4301.8	2885.6	3125.2	2942.6	3058.8	3118	3179	3133.2	3516.2	5371.4	3267.6	3073.8	3437.2	4367.6	3119.6	3021.4	3062.6	3009.6	3067.2	3176.6	4548	3587.6	2958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 6:49:00 AM	12	3523.6	3676.2	3748	3344	3201.4	3160.4	3100	3287.8	3297.2	3996	3929.6	3453.4	3269	5212.6	3385	3489	3235	3416.8	3294.4	3536.2	3447.6	3485.2	5160.4	3278.6	3213.8	4904.2	3504.2	3473.6	3451.4	3464.2	3398	3430.8	3568.6	3514	4331.4	3227	2981.2	3812.8	3493.4	3327.8	3364.8	3409	3406.6	3444.4	3408	3458.8	4534.6	3454.4	3162	4653.4	3241.4	3477.4	3219.8	3262.2	3415.6	3492.6	3500.2	3878.8	5765.8	3637	3312.6	3681.6	4646.6	3457	3253.4	3288.6	3329.8	3398.2	3554.4	4895.8	3905.6	3312.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 10:49:00 AM	16	3863.2	3975.2	4062.2	3651.8	3397	3370.4	3361.4	3575	3618.2	4325	4207.6	3699.4	3554.6	5561.6	3681	3773.2	3473.8	3697.4	3660.8	3902.4	3766.4	3807.8	5485.6	3547.8	3446.4	5147.8	3766.8	3729.6	3691.8	3727	3704.4	3741	3889.8	3830.4	4591.4	3487.6	3173.2	4078.6	3731.4	3557	3546	3618.6	3672.2	3707.8	3748.4	3749.8	4784.2	3704.2	3451.8	4964.4	3561.2	3761.4	3416.6	3428.4	3665.4	3751.4	3973.4	4344.4	6314	4095	3609.4	3997.8	4998.8	3756.4	3404.8	3453.2	3552	3630.4	3979.8	5374	4398.8	3715.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 2:49:00 PM	20	4025.4	4140.4	4253.6	3860.2	3474	3479.2	3517.2	3768.6	3846.8	4566.2	4377.8	3812.8	3671.6	5734	3867.4	3969	3660.2	3884.4	3990	4234.6	4035.2	4053.8	5642.4	3716.6	3569.4	5303.4	3904.2	3886.4	3838	3879.6	3976.6	4021.6	4092.8	4074.4	4783.6	3627.6	3265	4183	3856.2	3731	3614.8	3687.2	3835.8	3845.8	3984	3988.6	4984.8	3834	3574.6	5150	3775	3933.8	3474.4	3491	3809.8	3930.4	4481.6	4884.4	6818.6	4640.6	3737.2	4162.6	5216	3947.4	3479.8	3510.6	3662.4	3791.2	4514.4	5880.6	4901.2	4212.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 6:49:00 PM	24	4074.2	4203.6	4361.8	3947.6	3474.4	3462.6	3573.8	3829.4	3953.8	4680.4	4444.2	3834.4	3734	5784.2	3923.4	4026.2	3729.4	3975.2	4218.2	4482.4	4188.2	4177.8	5713	3762.8	3577.2	5374.8	3940.4	3908.8	3896.6	3915	4198.4	4243.2	4239.2	4183.2	4875.6	3664.2	3295.6	4262.8	3914.4	3762.4	3594	3668.6	3937.2	3891.4	4175.4	4123.4	4990	3876.2	3645	5277.6	3920.8	4068	3451.2	3484	3871.8	3946.8	4906.4	5297.2	7134.8	5107.4	3767.6	4189.2	5280.8	4016.2	3425.6	3484.8	3676.4	3823.2	4949.8	6259.8	5352.8	4686.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 10:49:00 PM	28	4049.8	4201.6	4422.8	4002.6	3473.8	3432.6	3604	3860.8	3977.6	4747.8	4453.8	3820.8	3730.8	5818.6	3948.6	4041	3740.2	3978.4	4400.4	4699	4289.2	4278.6	5811	3774.8	3553.4	5413.8	3950	3912.2	3932.4	3950.8	4356.4	4350	4280.6	4277.8	4863.8	3708.4	3267	4309.4	3895.8	3753.8	3539.6	3650.8	3954	3855	4251	4232.6	5068.4	3885	3641	5280.2	3956.4	4111.4	3409.6	3452.4	3880.6	3923.8	5346.8	5773.6	7521	5584.6	3741.4	4219.2	5293	4067.2	3376	3440.6	3658.6	3803.6	5444.8	6613.8	5832	5112.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 2:49:00 AM	32	4061.4	4291	4441.8	3988.8	3514.4	3426.8	3611	3840.6	4025.4	4773	4484	3818.4	3741	5828.4	3968.8	4004	3716.2	3973.2	4521.2	4826.6	4358.8	4322.4	5801.2	3804.4	3513.6	5385.8	3903.4	3919.6	3943.2	3974.6	4522.6	4499	4316.2	4317.6	4952	3710	3190	4377.6	3881.4	3743.2	3449.2	3543	3884.2	3842.6	4286.4	4229.2	5029.4	3892.4	3622	5331.4	4037.6	4156.4	3376	3417.8	3837.4	3889	5754	6157.2	7954.2	6099.6	3670	4268.6	5331.8	4103.2	3347.6	3400.6	3641.2	3788.6	5849.6	7072	6249.4	5589.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 6:49:00 AM	36	3968	4330.4	4429.4	4007.4	3466.4	3370.4	3608.6	3852.4	3993	4760	4442.2	3740	3742	5846.2	3939.4	3985.6	3732.8	3972.8	4641	4946	4414.8	4337.6	5795.8	3819	3457.2	5396.2	3879.6	3893	3951.4	4002.8	4614.4	4607.6	4330.2	4338.6	4954.6	3661	3140.8	4376.4	3883.4	3690	3329.4	3399.2	3837.6	3753.4	4258.4	4241	4955.8	3800.2	3630.2	5317.2	4062.4	4161.8	3260.2	3299.8	3759.6	3820.2	6205	6528.8	8304	6618.2	3595.4	4317.6	5375.4	4102	3248.4	3296.4	3579	3735.4	6324.8	7390.2	6743.4	6091.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
