Vessel Name: 20241212_TCSL250_wk0_ratio8
Date Time	Elapsed	B2	B3	B4	B5	B6	B7	B8	B9	B10	C2	C3	C4	C5	C6	C7	C8	C9	C10	D2	D3	D4	D5	D6	D7	D8	D9	D10	E2	E3	E4	E5	E6	E7	E8	E9	E10	F2	F3	F4	F5	F6	F7	F8	F9	F10	G2	G3	G4	G5	G6	G7	G8	G9	G10	B2 (Std Err Well)	B3 (Std Err Well)	B4 (Std Err Well)	B5 (Std Err Well)	B6 (Std Err Well)	B7 (Std Err Well)	B8 (Std Err Well)	B9 (Std Err Well)	B10 (Std Err Well)	C2 (Std Err Well)	C3 (Std Err Well)	C4 (Std Err Well)	C5 (Std Err Well)	C6 (Std Err Well)	C7 (Std Err Well)	C8 (Std Err Well)	C9 (Std Err Well)	C10 (Std Err Well)	D2 (Std Err Well)	D3 (Std Err Well)	D4 (Std Err Well)	D5 (Std Err Well)	D6 (Std Err Well)	D7 (Std Err Well)	D8 (Std Err Well)	D9 (Std Err Well)	D10 (Std Err Well)	E2 (Std Err Well)	E3 (Std Err Well)	E4 (Std Err Well)	E5 (Std Err Well)	E6 (Std Err Well)	E7 (Std Err Well)	E8 (Std Err Well)	E9 (Std Err Well)	E10 (Std Err Well)	F2 (Std Err Well)	F3 (Std Err Well)	F4 (Std Err Well)	F5 (Std Err Well)	F6 (Std Err Well)	F7 (Std Err Well)	F8 (Std Err Well)	F9 (Std Err Well)	F10 (Std Err Well)	G2 (Std Err Well)	G3 (Std Err Well)	G4 (Std Err Well)	G5 (Std Err Well)	G6 (Std Err Well)	G7 (Std Err Well)	G8 (Std Err Well)	G9 (Std Err Well)	G10 (Std Err Well)
12/12/2024 7:08:00 PM	0	2310.6	2692.8	2175.6	2141.6	2167	2150.6	2154	2129	2556.8	3604.4	2024	2325.8	2067.4	2086.4	2161.4	2137.6	2175.6	2139	3448.4	2233.2	2100.4	2248.4	2252	2218.2	2304	2268.4	2248.4	2525.4	2152.8	2017.4	2261.6	2118.6	2216.4	2254.4	2206	2190.8	2945.4	2076.8	2427.2	2181.2	2157.4	2114.8	2224.2	2234.6	2258	2219.4	2888.4	2168.4	2088.8	2129	2063.8	2044	2188.4	3039.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2024 11:08:00 PM	4	2695.2	3147.6	2577.8	2525.8	2570.6	2560.2	2553	2534.6	2984.2	4117.2	2425.8	2781	2477.6	2482.4	2567.4	2539	2592.8	2544.6	3899.8	2651.2	2500.8	2680.8	2693.6	2658.6	2728	2700	2665.8	2959.8	2568	2418	2689.2	2519.2	2628.2	2692	2642.4	2592	3440.2	2476.4	2848.2	2597.6	2554	2512.2	2649.8	2648.2	2680.8	2647.6	3330.2	2587.6	2486.6	2522	2452.4	2417.4	2573	3515.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 3:08:00 AM	8	3063.4	3521.4	2915.2	2857.6	2903.4	2875.8	2872.6	2877.8	3339.4	4541.8	2771.6	3119.8	2807.6	2826.4	2898	2879	2940	2849.2	4262.8	3010.6	2839.6	3051.2	3037	2992.4	3092.4	3042.4	3000.4	3297.8	2923.6	2758	3050	2857.4	2971.8	3038.8	2994.6	2919.4	3816.8	2812.6	3213.2	2966	2906.2	2851.8	3017.2	3002.2	3014.8	3009	3701.4	2918.2	2819.8	2848.2	2786.8	2737.2	2905.6	3850.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 7:08:00 AM	12	3422	3866.2	3250.8	3205.2	3226.6	3204.6	3214.4	3179	3705.6	4956.6	3089.8	3461.4	3135.6	3154.8	3231.2	3232	3274.6	3176.4	4662	3343.8	3167.8	3393	3341.6	3318.2	3434	3393.6	3352.2	3670	3245.2	3063	3371.2	3169.6	3302	3382	3314.6	3268.8	4191.4	3137	3554.2	3297.2	3234.2	3157	3388.8	3347.2	3354.2	3331.2	4056.4	3251.4	3133.2	3157.2	3069.2	3060.6	3273.4	4231.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 11:08:00 AM	16	3776.4	4230.4	3612.6	3560	3591.8	3531	3577.4	3549	4082.2	5308.4	3409.6	3809.4	3496.6	3526.8	3623.4	3619.8	3640.2	3546.6	4980.4	3704.6	3483.2	3753.6	3715.6	3679.2	3784.6	3754.2	3723.4	3994.6	3533.2	3333.4	3680.8	3521.6	3598.6	3753.2	3707.4	3646.4	4569.2	3436	3938.2	3611.8	3586.4	3479.4	3823.4	3800	3823.2	3697	4389	3578.4	3389.8	3476.6	3353.8	3490.2	3722	4685.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 3:08:00 PM	20	4113.6	4589.8	3946.4	3902.6	3919.8	3819	3906.8	3897.6	4429.8	5622.6	3671.8	4085.4	3905.6	3918.6	4039	3946.6	4000.6	3870.2	5289	3951.4	3732	4114.6	4115	4081.4	4074.2	4088	4065.2	4302.6	3758.4	3529.4	3924.6	3780	3848.6	4098.8	4091	4024	4898.2	3722.4	4292.6	3890.2	3845	3708.8	4307.6	4319.6	4320.4	3938.4	4659.6	3800.6	3561.2	3668	3551.8	3980.4	4227	5136.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 7:08:00 PM	24	4348.2	4875.4	4198.2	4126.4	4204.2	4036.2	4179.4	4175	4679.2	5795.2	3866.2	4261.6	4219.4	4276.8	4411	4214.2	4310.6	4184.4	5361.2	4128.6	3948.2	4467.2	4433.6	4392.6	4334	4325.2	4305.4	4491	3867.8	3668.6	4150.6	4037.2	4046.6	4414.6	4409.4	4285	5228.8	3945.4	4583.2	4054.6	3996	3874.4	4760.4	4771.6	4764.2	4173	4882.8	3936.6	3689	3811.6	3704.6	4425.4	4651.8	5586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 11:08:00 PM	28	4557.4	5114.4	4380.2	4300.8	4382.6	4215.4	4396.2	4386	4879.6	6029.8	3992	4350.8	4493.8	4537.8	4688	4430.4	4532.4	4390.2	5603.8	4259.4	4082.6	4733.8	4683.4	4659.4	4507	4487.6	4501.8	4663.4	3963	3757	4273.2	4191.8	4142.6	4603.8	4651.4	4516.2	5515.6	4128	4807.6	4187	4081.8	3963.2	5140.8	5167.6	5197.2	4326.6	4995.6	4040.6	3750.4	3877.6	3807.4	4828.2	5077	5979.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 3:08:00 AM	32	4731.8	5238.2	4494.6	4454.4	4528	4331.6	4520.2	4557.2	5051.8	6168.2	4066.6	4413.4	4743.8	4758.8	4923.4	4568.2	4703.8	4545.8	5797.4	4327	4155.2	4958.4	4896.6	4879	4615.6	4628.6	4651.8	4820.4	3989.2	3799.2	4361	4308.4	4185	4723	4817.6	4691.2	5731.2	4300.8	5020.2	4277.8	4153.8	4056.2	5575	5575.4	5623	4441	5123	4100.2	3769	3914	3850.4	5252.4	5559.6	6383.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 7:08:00 AM	36	4834.6	5383.6	4607.6	4598.8	4622.4	4434.8	4648	4723.8	5232	6361.2	4152.8	4438.4	4932.6	4912.6	5128.8	4700.6	4870	4692.6	5921.8	4371	4217	5153.6	5103.2	5128	4711.8	4740.6	4774	4959.4	4040	3841.4	4422.4	4352.4	-4.294932E+08	4837.2	4965	4824	6002.2	4435.8	5178.4	4363.2	4190.2	4089.8	5949.6	6031.6	6045.6	4574	5239	4116.8	3802	3930	3877.6	5675.2	6002.6	6760.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 11:08:00 AM	40	4961.6	5485	4686	4736.2	4724.4	4517.4	4733.6	4868.8	5347.4	6479.4	4196.8	4469.4	5102.6	5107.2	5317.2	4813.8	5010.6	4839	6002.2	4417	4228	5381	5304.4	5325.4	4821.2	4849.8	4849.6	5101.4	4045.4	3848	4497.6	4441.2	4307.2	4894	5077.2	4984	6225.4	4561.4	5344.2	4411.4	4225.4	4108.2	6308.2	6413.2	6465.8	4657.8	5272.6	4152.2	3803.4	3943.4	3907.4	6079.2	6455	7189.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 3:08:00 PM	44	5070	5632.6	4753	4853.6	4801.6	4589.4	4857.6	4994.2	5514.2	6635.2	4248.2	4518.4	5306.4	5287.2	5541.4	4933.2	5176.4	5008	6152.8	4424	4274.6	5562.4	5504.4	5573.6	4922.8	4946.2	4987.6	5265.2	4076	3874	4565.8	4485.4	4384.8	4946.8	5174	5102.8	6425.8	4721	5457.8	4428	4270.2	4126.4	6613.8	6758.2	6806	4754	5390.8	4162.2	3840	3963.8	3902.4	6484.6	6803	7544.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 7:08:00 PM	48	5199.4	5610.8	4803.8	4939.2	4842.6	4667.2	4917.8	5093	5603.8	6701.2	4279.2	4530.6	5457.4	5444	5732.6	5087.6	5332.6	5188.8	6282.4	4446	4313.8	5740	5702	5771	5067.8	5063.2	5096.8	5389.2	4094.2	3890.8	4666.2	4546.2	4441	5045.2	5311.4	5229	6667.4	4866.4	5649.2	4466	4314.4	4137	6859.6	7029.2	7078.8	4821.8	5398.2	4126.4	3826.6	3975.8	3946.2	6805.8	7111.4	7792.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
