Vessel Name: 20241212_TCSL250_wk0_ratio8
Metric: Total Red Object Area (µm²/Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis

Date Time	Elapsed	B2	B3	B4	B5	B6	B7	B8	B9	B10	C2	C3	C4	C5	C6	C7	C8	C9	C10	D2	D3	D4	D5	D6	D7	D8	D9	D10	E2	E3	E4	E5	E6	E7	E8	E9	E10	F2	F3	F4	F5	F6	F7	F8	F9	F10	G2	G3	G4	G5	G6	G7	G8	G9	G10	B2 (Std Err Well)	B3 (Std Err Well)	B4 (Std Err Well)	B5 (Std Err Well)	B6 (Std Err Well)	B7 (Std Err Well)	B8 (Std Err Well)	B9 (Std Err Well)	B10 (Std Err Well)	C2 (Std Err Well)	C3 (Std Err Well)	C4 (Std Err Well)	C5 (Std Err Well)	C6 (Std Err Well)	C7 (Std Err Well)	C8 (Std Err Well)	C9 (Std Err Well)	C10 (Std Err Well)	D2 (Std Err Well)	D3 (Std Err Well)	D4 (Std Err Well)	D5 (Std Err Well)	D6 (Std Err Well)	D7 (Std Err Well)	D8 (Std Err Well)	D9 (Std Err Well)	D10 (Std Err Well)	E2 (Std Err Well)	E3 (Std Err Well)	E4 (Std Err Well)	E5 (Std Err Well)	E6 (Std Err Well)	E7 (Std Err Well)	E8 (Std Err Well)	E9 (Std Err Well)	E10 (Std Err Well)	F2 (Std Err Well)	F3 (Std Err Well)	F4 (Std Err Well)	F5 (Std Err Well)	F6 (Std Err Well)	F7 (Std Err Well)	F8 (Std Err Well)	F9 (Std Err Well)	F10 (Std Err Well)	G2 (Std Err Well)	G3 (Std Err Well)	G4 (Std Err Well)	G5 (Std Err Well)	G6 (Std Err Well)	G7 (Std Err Well)	G8 (Std Err Well)	G9 (Std Err Well)	G10 (Std Err Well)
12/12/2024 7:08:00 PM	0	648196.1	707429.4	674589.6	654537	662861.8	668465.6	660487.2	655825.1	654157.2	744503.6	641426.3	701499.3	657628.9	665436.9	666659.7	653142.9	649730.6	649615.2	752125.8	678273	661694.6	686913.4	681786.5	684905.7	721605.1	679979.9	663689.4	695652.4	663689.1	638819.9	699297.4	659853.4	700903.4	702004.1	668157.1	656730.1	678793.6	658957.6	728866.4	686117.8	692359.9	656692.6	711750.1	677648.4	679228.8	632415.3	693073.3	675303.3	670577.1	684970.7	674050.1	685711.6	678090.4	708523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2024 11:08:00 PM	4	753589.7	795455.3	765346.9	744027.8	759636.9	762619.6	754729	749379.5	749955.8	844354.5	736042.9	791662.3	745964.1	756305	752179.3	736735.3	734442.4	742109.5	828323.6	766471.9	747568.6	771675.7	768590.8	769455.6	814924.8	775590.6	748203.4	790007.8	748775.6	729681.3	795486.9	747850.6	785153.8	791362.4	758341.3	744455.6	768441.4	754345.2	808182.9	772079.3	786710.3	753060.1	800591.3	759533.4	765458.4	719406	791622.1	773004.1	761480.6	777712	762839	777415.4	781140.1	792736.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 3:08:00 AM	8	837832.6	883716.8	849241	821817.8	840698.9	839708.2	838721.8	832453.7	835700.4	925947.1	818226.3	861976.2	825436.6	834681.8	832141.4	810173.6	810358.6	823416.8	900227.8	842499	832108.9	850629.4	845308.1	851207.6	901501.1	847123.7	824505.6	865708.8	825386.1	806136.7	874648.6	837580.4	867170.3	866793.4	832526.7	817397.1	854312.5	835993.2	877719.8	855538.8	868945.3	832846.1	883418.8	837817.8	845976.6	805191.5	875375	850813.3	833958.8	858714.6	841732	862845.3	866890.8	876668.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 7:08:00 AM	12	888039.7	954568.6	923209.5	890345.2	906014.2	904987.6	907601.4	904334.6	904514.1	988233.3	881252.9	932007.8	896301.7	916156.5	898116.9	877917	881929.5	886760.5	960857.2	917270.1	898258.4	922138.3	907524	912400.6	967807.2	912934.5	889996.1	923479	889162.6	875565.1	936029.2	904044.6	924289.6	937543	903864.1	889866.1	919692.6	892925	944147.9	923276	931909.1	899428.3	960905.8	913455.4	924165.2	867998.6	930806	912786.2	895844.8	914382	905920.2	937063.6	930950.8	949682.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 11:08:00 AM	16	968441.3	1023057	980451.7	955327.2	971132.2	964688.5	969617.4	970656.1	974197.5	1062737	942742.1	982722.2	975406.1	987937.7	975170.8	947673.4	946487.4	953428.7	1019225	966971.4	954555.3	984062.4	973510.4	978124.8	1018068	966419.3	952212.3	985471.5	937441.5	925226.2	982391.6	956937.3	979029.9	994786.2	959199.2	951266.8	993586.5	961025.5	1003135	982390.8	988491.1	949567.3	1041098	984899.9	1008329	934607.7	994927.9	972660.2	941662.2	970192.2	952232.5	1021222	1013787	1023879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 3:08:00 PM	20	1014070	1063669	1028603	1004123	1022275	1013074	1021501	1023144	1026114	1105314	992450	1022521	1027245	1042440	1038531	994710.9	998763.9	1014370	1062564	1011984	997867.6	1036172	1036343	1040127	1074157	1018240	1005621	1026136	972461.8	961616.4	1025412	1007005	1017623	1054446	1019517	1006312	1046855	1005820	1054944	1023575	1029551	993913.6	1108970	1058077	1083900	978184.2	1041896	1006505	969354	1002252	994055.4	1089618	1091391	1102466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 7:08:00 PM	24	1043900	1105913	1056927	1028650	1056585	1034077	1053294	1054065	1061340	1145371	1025869	1051821	1074048	1080297	1094429	1035649	1045758	1052134	1115896	1045583	1006803	1086503	1093045	1101604	1092181	1055326	1047194	1058560	1010717	979252.9	1031843	1017665	1029066	1066696	1057330	1068593	1087435	1053000	1113335	1065584	1071967	1027524	1184121	1132773	1147700	1004185	1065048	1030604	996789	1022822	1012176	1147170	1161284	1178789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/13/2024 11:08:00 PM	28	1066415	1129800	1077644	1049945	1078140	1052476	1082324	1077859	1082589	1167018	1043155	1063954	1107431	1105647	1130544	1067235	1080543	1084919	1141638	1061958	1023523	1134730	1131313	1136771	1110187	1074847	1081499	1084777	1023910	988236.1	1049545	1042642	1048526	1094705	1091199	1100098	1129921	1074236	1140779	1079724	1086014	1044012	1237028	1183005	1201331	1026813	1085476	1037613	1011597	1033291	1024714	1203637	1214834	1232415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 3:08:00 AM	32	1078504	1138294	1094143	1065820	1092489	1062176	1092304	1100673	1103078	1179519	1053757	1068180	1131920	1134491	1163974	1086058	1102840	1110943	1157262	1069329	1030690	1159754	1154702	1168870	1124968	1090091	1093013	1095207	1029642	991922.9	1061416	1051507	1052588	1104724	1103735	1117189	1159184	1090618	1161778	1093623	1095684	1042469	1288516	1233093	1251554	1042540	1092760	1035597	1009284	1035797	1030831	1250797	1265690	1278557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/14/2024 7:08:00 AM	36	1087175	1155371	1097645	1083253	1104136	1078805	1104251	1116198	1120873	1190050	1060244	1071747	1159996	1161872	1187124	1103710	1121246	1117613	1168205	1073901	1035318	1181151	1176935	1194112	1140396	1108061	1110594	1108308	1028102	994152	1068479	1061276	1084954	1114870	1122189	1132181	1187496	1112888	1183765	1096927	1095643	1043851	1321082	1280535	1292526	1049440	1093369	1029092	1008693	1032781	1024339	1294451	1314915	1316147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
