Vessel Name: 20241219_TCSL250_wk2_incucyte_DBG
Metric: Total Red Object Area (µm²/Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis

Date Time	Elapsed	B2	B3	B4	B5	B6	B7	B8	B9	B10	C2	C3	C4	C5	C6	C7	C8	C9	C10	D2	D3	D4	D5	D6	D7	D8	D9	D10	E2	E3	E4	E5	E6	E7	E8	E9	E10	F2	F3	F4	F5	F6	F7	F8	F9	F10	G2	G3	G4	G5	G6	G7	G8	G9	G10
12/19/2024 10:00:00 PM	0	1168432	1181304	1114246	1146675	1137363	1100647	1059665	1015469	1091167	1224131	1157389	1100910	1187078	1090543	1128128	1057841	1071047	980355.1	1215613	1174273	1115160	1118998	1109128	1100665	1072356	1039263	1036933	1127093	1142792	1176295	1136011	1162834	1092026	1026126	1074303	1038002	1229904	1132596	1158710	1153786	1152483	1107605	1088341	1060240	1045176	1195963	1220854	1133206	1163398	1135977	1163821	1176975	1147583	1203519
12/20/2024 2:00:00 AM	4	1246471	1252376	1195378	1231338	1216221	1176803	1144919	1097218	1172360	1286683	1237817	1179042	1259081	1171855	1232281	1136879	1156781	1064899	1285236	1248125	1194716	1193376	1191196	1183086	1151050	1116283	1118600	1201836	1217476	1246621	1211312	1242239	1172549	1104585	1155234	1118280	1297734	1209002	1231483	1233209	1234421	1187921	1180904	1143094	1126802	1264862	1278014	1206654	1242423	1219029	1245739	1257406	1222713	1279846
12/20/2024 6:00:00 AM	8	1311211	1316555	1266439	1302410	1288512	1255765	1220177	1175187	1244259	1339869	1305278	1246748	1320763	1242136	1310556	1210061	1236522	1148299	1350037	1318170	1261570	1264656	1258376	1254049	1225029	1193462	1196739	1273836	1284506	1307825	1280499	1301811	1241151	1179972	1227101	1191856	1359983	1279973	1302889	1298594	1303112	1258559	1255721	1221877	1209840	1326713	1330915	1267618	1305633	1290230	1311174	1318356	1298306	1341457
12/20/2024 10:00:00 AM	12	1375537	1372415	1326673	1357069	1349733	1326068	1289167	1245574	1310314	1391380	1360613	1305641	1387957	1309571	1362764	1281272	1307041	1220761	1400652	1376262	1323649	1328911	1322544	1324384	1293904	1263015	1263868	1331922	1347867	1363922	1337395	1362820	1306681	1250010	1294792	1269675	1408805	1339784	1357401	1360145	1366987	1318554	1327206	1289733	1280355	1378946	1377220	1322654	1359882	1347743	1368641	1381498	1362865	1391152
12/20/2024 2:00:00 PM	16	1420686	1416373	1382728	1408947	1407072	1376516	1345931	1311364	1370862	1426371	1413579	1358240	1434096	1361402	1427419	1338955	1368825	1290845	1441219	1422314	1374428	1380634	1377922	1374259	1352515	1329290	1335162	1383714	1397283	1417695	1387546	1408373	1358749	1312662	1353639	1330167	1455042	1392020	1417037	1408025	1404737	1368195	1379582	1351597	1342725	1424101	1413892	1372893	1402035	1394798	1411537	1425881	1406352	1440785
12/20/2024 6:00:00 PM	20	1458268	1453032	1422218	1450575	1449303	1420599	1399083	1369721	1423581	1463119	1451489	1402475	1476135	1411105	1466317	1391958	1424700	1350134	1472462	1454768	1415219	1423125	1417814	1420848	1403471	1383776	1391354	1425280	1446023	1449705	1427922	1447715	1402725	1367591	1407204	1386514	1488708	1424014	1450429	1445734	1437577	1412007	1433797	1398820	1407499	1460346	1443201	1412399	1436491	1433948	1445445	1462617	1451614	1470703
12/20/2024 10:00:00 PM	24	1486976	1480381	1459278	1478721	1479298	1460586	1438366	1416257	1460023	1483565	1479092	1428660	1499883	1445764	1502929	1423119	1457512	1391836	1496266	1477386	1439941	1451895	1448310	1455296	1437456	1421588	1425082	1457667	1471598	1475662	1455403	1471521	1432625	1406691	1442750	1422987	1516027	1459750	1481377	1471182	1462629	1443824	1461371	1436058	1439210	1495731	1468954	1447020	1465332	1478191	1471452	1490561	1479682	1498275
12/21/2024 2:00:00 AM	28	1512148	1507586	1482981	1498883	1501689	1485472	1465635	1446357	1494217	1509894	1499060	1452325	1522997	1473490	1520537	1455644	1486166	1428563	1517052	1502709	1461583	1473326	1470403	1480858	1463581	1454688	1458008	1486059	1498001	1495577	1473950	1489141	1457191	1438712	1466659	1461539	1535411	1479528	1500153	1488677	1486073	1464541	1488101	1462219	1472312	1513309	1485064	1462545	1477820	1490511	1491863	1510559	1497319	1515490
12/21/2024 6:00:00 AM	32	1528762	1526189	1501949	1515178	1518627	1507244	1487002	1478947	1518242	1525938	1513711	1466364	1531384	1489367	1544509	1474886	1499338	1456618	1527948	1510267	1478485	1490059	1485175	1497754	1486274	1474023	1476742	1501118	1508340	1506329	1485413	1500267	1470825	1459415	1484330	1476909	1551853	1505769	1512240	1500585	1496999	1480695	1510200	1485262	1495584	1529662	1496106	1479130	1491989	1512667	1506132	1528526	1520378	1530449
12/21/2024 10:00:00 AM	36	1541297	1531224	1513457	1525279	1530762	1519156	1502125	1495311	1532946	1525428	1520977	1474625	1545889	1505280	1545955	1487868	1521410	1470968	1537514	1523109	1488294	1504338	1495606	1511197	1497101	1489222	1491458	1516161	1521933	1517797	1498177	1512532	1484778	1477070	1497561	1491808	1562114	1513823	1526063	1506308	1506805	1489797	1516145	1500954	1507581	1539099	1505831	1485832	1495425	1513964	1513397	1536351	1523916	1535132
