Vessel Name: 20241219_TCSL250_purified_wk0
Metric: Red Object Count (Per Image)
Cell Type: 
Passage: 1
Notes: 
Analysis: MGF_TRACHYB013_analysis

Date Time	Elapsed	B1, Image 1	B1, Image 2	B1, Image 3	B1, Image 4	B1, Image 5	B2, Image 1	B2, Image 2	B2, Image 3	B2, Image 4	B2, Image 5	B3, Image 1	B3, Image 2	B3, Image 3	B3, Image 4	B3, Image 5	B4, Image 1	B4, Image 2	B4, Image 3	B4, Image 4	B4, Image 5	B5, Image 1	B5, Image 2	B5, Image 3	B5, Image 4	B5, Image 5	B6, Image 1	B6, Image 2	B6, Image 3	B6, Image 4	B6, Image 5	B7, Image 1	B7, Image 2	B7, Image 3	B7, Image 4	B7, Image 5	B8, Image 1	B8, Image 2	B8, Image 3	B8, Image 4	B8, Image 5	B9, Image 1	B9, Image 2	B9, Image 3	B9, Image 4	B9, Image 5	B10, Image 1	B10, Image 2	B10, Image 3	B10, Image 4	B10, Image 5	B11, Image 1	B11, Image 2	B11, Image 3	B11, Image 4	B11, Image 5	B12, Image 1	B12, Image 2	B12, Image 3	B12, Image 4	B12, Image 5	C1, Image 1	C1, Image 2	C1, Image 3	C1, Image 4	C1, Image 5	C2, Image 1	C2, Image 2	C2, Image 3	C2, Image 4	C2, Image 5	C3, Image 1	C3, Image 2	C3, Image 3	C3, Image 4	C3, Image 5	C4, Image 1	C4, Image 2	C4, Image 3	C4, Image 4	C4, Image 5	C5, Image 1	C5, Image 2	C5, Image 3	C5, Image 4	C5, Image 5	C6, Image 1	C6, Image 2	C6, Image 3	C6, Image 4	C6, Image 5	C7, Image 1	C7, Image 2	C7, Image 3	C7, Image 4	C7, Image 5	C8, Image 1	C8, Image 2	C8, Image 3	C8, Image 4	C8, Image 5	C9, Image 1	C9, Image 2	C9, Image 3	C9, Image 4	C9, Image 5	C10, Image 1	C10, Image 2	C10, Image 3	C10, Image 4	C10, Image 5	C11, Image 1	C11, Image 2	C11, Image 3	C11, Image 4	C11, Image 5	C12, Image 1	C12, Image 2	C12, Image 3	C12, Image 4	C12, Image 5	D1, Image 1	D1, Image 2	D1, Image 3	D1, Image 4	D1, Image 5	D2, Image 1	D2, Image 2	D2, Image 3	D2, Image 4	D2, Image 5	D3, Image 1	D3, Image 2	D3, Image 3	D3, Image 4	D3, Image 5	D4, Image 1	D4, Image 2	D4, Image 3	D4, Image 4	D4, Image 5	D5, Image 1	D5, Image 2	D5, Image 3	D5, Image 4	D5, Image 5	D6, Image 1	D6, Image 2	D6, Image 3	D6, Image 4	D6, Image 5	D7, Image 1	D7, Image 2	D7, Image 3	D7, Image 4	D7, Image 5	D8, Image 1	D8, Image 2	D8, Image 3	D8, Image 4	D8, Image 5	D9, Image 1	D9, Image 2	D9, Image 3	D9, Image 4	D9, Image 5	D10, Image 1	D10, Image 2	D10, Image 3	D10, Image 4	D10, Image 5	D11, Image 1	D11, Image 2	D11, Image 3	D11, Image 4	D11, Image 5	D12, Image 1	D12, Image 2	D12, Image 3	D12, Image 4	D12, Image 5	E1, Image 1	E1, Image 2	E1, Image 3	E1, Image 4	E1, Image 5	E2, Image 1	E2, Image 2	E2, Image 3	E2, Image 4	E2, Image 5	E3, Image 1	E3, Image 2	E3, Image 3	E3, Image 4	E3, Image 5	E4, Image 1	E4, Image 2	E4, Image 3	E4, Image 4	E4, Image 5	E5, Image 1	E5, Image 2	E5, Image 3	E5, Image 4	E5, Image 5	E6, Image 1	E6, Image 2	E6, Image 3	E6, Image 4	E6, Image 5	E7, Image 1	E7, Image 2	E7, Image 3	E7, Image 4	E7, Image 5	E8, Image 1	E8, Image 2	E8, Image 3	E8, Image 4	E8, Image 5	E9, Image 1	E9, Image 2	E9, Image 3	E9, Image 4	E9, Image 5	E10, Image 1	E10, Image 2	E10, Image 3	E10, Image 4	E10, Image 5	E11, Image 1	E11, Image 2	E11, Image 3	E11, Image 4	E11, Image 5	E12, Image 1	E12, Image 2	E12, Image 3	E12, Image 4	E12, Image 5	F1, Image 1	F1, Image 2	F1, Image 3	F1, Image 4	F1, Image 5	F2, Image 1	F2, Image 2	F2, Image 3	F2, Image 4	F2, Image 5	F3, Image 1	F3, Image 2	F3, Image 3	F3, Image 4	F3, Image 5	F4, Image 1	F4, Image 2	F4, Image 3	F4, Image 4	F4, Image 5	F5, Image 1	F5, Image 2	F5, Image 3	F5, Image 4	F5, Image 5	F6, Image 1	F6, Image 2	F6, Image 3	F6, Image 4	F6, Image 5	F7, Image 1	F7, Image 2	F7, Image 3	F7, Image 4	F7, Image 5	F8, Image 1	F8, Image 2	F8, Image 3	F8, Image 4	F8, Image 5	F9, Image 1	F9, Image 2	F9, Image 3	F9, Image 4	F9, Image 5	F10, Image 1	F10, Image 2	F10, Image 3	F10, Image 4	F10, Image 5	F11, Image 1	F11, Image 2	F11, Image 3	F11, Image 4	F11, Image 5	F12, Image 1	F12, Image 2	F12, Image 3	F12, Image 4	F12, Image 5	G1, Image 1	G1, Image 2	G1, Image 3	G1, Image 4	G1, Image 5	G2, Image 1	G2, Image 2	G2, Image 3	G2, Image 4	G2, Image 5	G3, Image 1	G3, Image 2	G3, Image 3	G3, Image 4	G3, Image 5	G4, Image 1	G4, Image 2	G4, Image 3	G4, Image 4	G4, Image 5	G5, Image 1	G5, Image 2	G5, Image 3	G5, Image 4	G5, Image 5	G6, Image 1	G6, Image 2	G6, Image 3	G6, Image 4	G6, Image 5	G7, Image 1	G7, Image 2	G7, Image 3	G7, Image 4	G7, Image 5	G8, Image 1	G8, Image 2	G8, Image 3	G8, Image 4	G8, Image 5	G9, Image 1	G9, Image 2	G9, Image 3	G9, Image 4	G9, Image 5	G10, Image 1	G10, Image 2	G10, Image 3	G10, Image 4	G10, Image 5	G11, Image 1	G11, Image 2	G11, Image 3	G11, Image 4	G11, Image 5	G12, Image 1	G12, Image 2	G12, Image 3	G12, Image 4	G12, Image 5
12/19/2024 9:40:00 PM	0	795	1393	1183	1061	1064	1022	1683	1329	1027	1615	1292	1565	1594	-2.147484E+09	1336	1063	1315	1513	1256	1541	1174	1282	1458	1196	1567	1289	1159	1586	1160	1415	1156	1118	1427	1284	1501	1545	1098	1641	1514	1117	1378	947	1461	1430	1194	1524	1869	1773	1421	1362	1130	995	1551	1540	2118	952	892	1213	1463	879	805	1313	1313	679	1141	1801	1747	2494	2914	1716	1225	1531	1447	1460	751	1393	929	1481	1443	1415	1318	1408	1337	1439	1423	1478	1493	1379	1366	1239	1463	1323	1512	1432	800	1552	1639	1472	1525	983	1441	1108	1564	1469	1067	1422	1477	1684	1021	1022	1601	2546	2690	1897	1473	1193	776	1219	1373	1069	853	1349	760	456	989	1399	1573	1623	1551	1889	1359	1440	1397	1093	1229	1248	1522	1371	1153	1363	1366	1367	1469	1186	1579	1453	1349	1417	858	1418	1494	1398	1374	829	1267	1479	1474	1369	890	1461	1555	1377	1564	1232	1293	1433	1299	1442	888	1499	1277	1591	1896	1681	1961	1176	808	1170	1147	1113	147	732	169	717	712	1247	1403	1372	1251	1130	1365	1612	1418	1534	853	1342	1453	1316	1530	984	1393	1520	1266	1329	1171	1493	1583	1422	1490	934	1374	1400	1366	1383	880	1420	1392	1401	1508	893	1515	1351	1376	1587	920	1296	1403	1365	1539	1110	1674	1348	1854	1778	1298	1090	883	1204	1402	988	114	468	89	73	485	1699	2073	1673	1124	1652	1223	1458	1032	668	1243	1325	1519	1286	780	1243	1168	1526	1033	625	1327	1217	1405	1147	665	1323	1363	1250	1245	830	1153	1314	1268	1333	701	1414	1490	1090	1381	830	1279	1319	1303	1462	1042	1487	2464	2793	3058	2444	2211	1152	782	1124	1119	868	201	542	128	375	120	1479	1338	1080	1140	845	1510	1536	1567	2430	1175	1564	1247	1166	1165	1111	1381	1173	1182	1229	1180	1394	1254	1265	1168	1111	1382	1132	1187	1301	1015	1464	1335	1191	1307	1103	1315	929	954	1387	945	1469	2606	1685	1669	1497	1435	864	1079	1536	1074	1045	544	907	1155	834
12/20/2024 1:40:00 AM	4	1010	1620	1420	1373	1180	1291	1989	1645	1306	1786	1618	1762	1818	2254	1521	1331	1477	1815	1452	1805	1354	1469	1806	1410	1835	1461	1312	1886	1359	1688	1431	1325	1693	1471	1744	1805	1230	1873	1753	1291	1575	1090	1683	1720	1396	1871	2255	2084	1630	1526	1340	1318	1930	1966	2452	1128	1127	1505	1813	1051	971	1546	1500	816	1394	2253	2182	2990	3471	2082	1452	1825	1693	1720	886	1639	1107	1750	1670	1713	1540	1671	1581	1693	1652	1703	1782	1614	1611	1482	1680	1590	1734	1653	950	1792	1850	1695	1755	1154	1663	1293	1830	1698	1238	1625	1728	1910	1190	1212	1997	3120	3134	2222	1758	1449	943	1480	1620	1261	995	1653	861	578	1180	1715	2013	2037	1949	2208	1652	1678	1716	1308	1497	1505	1789	1598	1398	1605	1597	1582	1718	1399	1838	1716	1605	1681	1016	1644	1759	1605	1607	978	1464	1734	1718	1612	1078	1698	1843	1655	1841	1465	1506	1659	1556	1697	1030	1744	1531	1943	2317	2102	2322	1400	937	1423	1342	1319	73	694	106	807	803	1543	1704	1661	1494	1351	1611	1891	1627	1812	998	1577	1707	1563	1808	1142	1617	1820	1542	1562	1371	1776	1834	1684	1755	1101	1642	1639	1603	1647	1043	1647	1613	1631	1763	1019	1780	1555	1608	1858	1084	1514	1678	1618	1796	1266	2040	1661	2326	2094	1606	1277	1031	1467	1665	1190	9	369	6	61	435	2094	2375	1980	1399	1936	1414	1740	1208	731	1441	1555	1779	1497	903	1472	1404	1871	1229	760	1583	1470	1731	-2.147484E+09	817	1588	1647	1456	1489	945	1339	1573	1477	1595	820	1657	1738	1270	1627	976	1508	1577	1549	1719	1251	1763	2872	3342	3614	2890	2589	1388	915	1296	1322	1026	22	483	13	372	68	1833	1551	1301	1352	1015	1790	1867	1950	2894	1457	1894	1465	1387	1420	1302	1715	1471	1450	1568	1472	1764	1683	1552	1434	1371	1688	1343	1408	1564	1209	1746	1618	1438	1592	1302	1562	1093	1133	1625	1125	1728	3026	2053	2022	1781	1646	1011	1277	1816	1236	1259	616	1071	1404	974
12/20/2024 5:40:00 AM	8	1101	1847	1635	1461	1408	1440	2285	1820	1454	2199	1856	2057	2118	2680	1844	1427	1713	2047	1654	2037	1606	1707	1959	1673	2103	1684	1478	2093	1567	1903	1604	1552	1932	1677	1972	2070	1450	2158	1998	1486	1850	1309	1937	1904	1615	2136	2656	2385	1850	1807	1574	1408	2156	2285	2755	1372	1260	1707	2028	1276	1140	1747	1681	943	1585	2497	2433	3416	3877	2369	1645	2092	1959	1974	1038	1841	1276	2015	1896	1988	1764	1960	1822	1921	1891	1961	2026	1885	1838	1700	1907	1799	1970	1908	1092	2053	2104	1945	2010	1309	1915	1504	2083	1910	1442	1876	1946	2184	1389	1415	2327	3478	3643	2537	2049	1611	1070	1673	1820	1480	1221	1879	1044	637	1327	2074	2325	2390	2273	2655	1905	1965	1920	1517	1723	1725	2022	1799	1631	1887	1821	1861	1976	1620	2107	1963	1820	1977	1187	1937	1963	1894	1855	1140	1701	1983	1970	1868	1242	1982	2096	1917	2083	1696	1750	1992	1814	1975	1202	1995	1791	2271	2705	2426	2784	1579	1103	1603	1530	1527	85	789	119	940	931	1824	2011	1908	1757	1604	1842	2184	1913	2089	1159	1803	1982	1792	2065	1347	1842	2109	1766	1794	1597	1990	2148	1920	2045	1306	1877	1894	1824	1880	1220	1875	1871	1891	1989	1205	2063	1800	1873	2122	1308	1733	1905	1837	2120	1481	2323	2027	2622	2498	1866	1485	1264	1700	1885	1339	7	399	2	77	477	2394	2754	2368	1565	2231	1681	1988	1385	862	1662	1816	2057	1699	1059	1665	1634	2122	1434	905	1853	1632	1999	1613	921	1827	1889	1731	1745	1127	1534	1796	1763	1821	968	1928	1954	1502	1858	1148	1720	1794	1764	2005	1454	2047	3315	3761	4057	3285	3013	1604	1058	1492	1527	1162	10	556	8	438	58	2164	1811	1553	1526	1146	2095	2106	2276	3273	1700	2140	1692	1616	1667	1528	1939	1727	1649	1795	1681	1991	1849	1741	1669	1559	1895	1508	1597	1798	1437	1988	1826	1616	1835	1500	1772	1278	1280	1845	1302	1973	3515	2372	2336	2057	1942	1166	1468	2074	1417	1404	737	1216	1607	1127
12/20/2024 9:40:00 AM	12	1232	2024	1787	1610	1534	1556	2491	2005	1597	2342	2030	2294	2357	2968	1976	1583	1880	2263	1845	2268	1780	1931	2195	1824	2364	1877	1631	2274	1716	2118	1744	1720	2131	1848	2192	2299	1601	2408	2196	1678	2039	1418	2139	2095	1787	2385	2824	2656	2036	2002	1717	1580	2403	2536	3057	1511	1414	1931	2230	1381	1278	1913	1852	1027	1738	2739	2739	3715	4210	2635	1814	2337	2153	2163	1136	2041	1454	2205	2077	2187	1966	2161	2002	2134	2074	2164	2254	2069	2081	1892	2074	2057	2137	2081	1215	2265	2321	2161	2215	1482	2153	1672	2275	2115	1615	2094	2167	2392	1536	1589	2565	3781	3951	2873	2272	1804	1214	1814	2010	1594	1308	1965	1152	747	1483	2263	2602	2640	2465	2864	2041	2197	2129	1711	-2.147484E+09	1896	2259	1993	1779	2099	1995	2060	2198	1797	2325	2166	2015	2148	1323	2136	2142	2090	2050	1275	1900	2202	2210	2071	1373	2188	2278	2118	2242	1878	1950	2168	1990	2184	1336	2229	1986	2552	3003	2696	2928	1776	1212	1801	1693	1636	92	892	129	1025	1029	2052	2163	2111	1983	1810	2074	2453	2114	2240	1338	1991	2200	1954	2257	1535	1984	2299	1942	1932	1748	2191	2337	2098	2233	1422	2053	2103	2004	2078	1359	2094	2093	2083	2217	1333	2238	2056	2045	2356	1437	1917	2096	2081	2288	1665	2574	2233	2985	2722	2083	1661	1401	1821	2106	1475	7	446	2	91	543	2671	2995	2577	1712	2451	1807	2171	1535	967	1840	1984	2283	1917	1198	1846	1793	2319	1530	1058	2006	1842	2147	1763	1032	1990	2073	1900	1943	1261	1707	1993	1937	2019	1081	2125	2188	1667	2042	1269	1897	2002	1988	2218	1609	2223	3628	4166	4418	3690	3254	1808	1180	1696	1702	1320	8	634	7	482	71	2381	2039	1710	1721	1314	2285	2413	2499	3615	1841	2384	1877	1777	1823	1665	2117	1877	1779	1889	1840	2115	2027	1895	1767	1708	2126	1690	1755	1998	1573	2187	2016	1744	1994	1649	1991	1401	1429	2005	1452	2201	3855	2670	2593	2322	2201	1297	1643	2282	1619	1567	835	1366	1746	1264
12/20/2024 1:40:00 PM	16	1381	2201	1966	1848	1582	1724	2750	2298	1738	2464	2281	2549	2644	3173	2152	1823	2090	2551	2084	2550	2036	2142	2572	2022	2706	2074	1873	2573	1949	2383	2005	1905	2441	2093	2464	2514	1751	2661	2488	1887	2233	1567	2345	2369	1989	2647	3099	2986	2269	2142	1925	1787	2697	2766	3279	1639	1577	2187	2515	1442	1404	2053	2112	1135	1879	2983	2995	4034	4355	2823	2022	-2.147484E+09	2405	2364	1255	2282	1629	2451	2365	2396	2219	2420	2223	2408	2381	2477	2517	2347	2350	2112	2395	2326	2446	2345	1371	2565	2581	2480	2552	1654	2436	1880	2574	2389	1807	2333	2422	2715	1767	1760	2782	4157	4287	3120	2459	2068	1352	2077	2347	1747	1435	2081	1194	794	1584	2443	2807	2901	2625	2944	2235	2477	2336	1849	2023	2094	2474	2274	1959	2255	2248	2320	2466	1948	2575	2378	2233	2424	1470	2314	2378	2339	2312	1418	2121	2448	2470	2322	1557	2457	2536	2323	2536	2087	2189	2382	2224	2397	1478	2482	2208	2753	3271	3021	3193	1993	1331	1984	1867	1822	120	935	163	1127	1106	2277	2341	2329	2168	1934	2293	2786	2375	2551	1475	2230	2427	2193	2517	1739	2244	2518	2157	2145	1918	2415	2551	2343	2430	1559	2287	2308	2250	2334	1485	2352	2316	2303	2510	1471	2442	2327	2337	2621	1613	2116	2337	2275	2602	1879	2743	2434	3270	2971	2240	1870	1518	2032	2375	1609	5	444	2	106	586	2881	3208	2808	1905	2658	2017	2444	1743	1087	2055	2165	2560	2094	1327	2068	1957	2504	1675	1181	2176	2004	2322	1928	1112	2131	2287	2125	2149	1378	1885	2214	2122	2170	1214	2306	2475	1850	2304	1437	2134	2243	2196	2550	1864	2598	3970	4495	4823	3964	3744	2036	1348	1933	1938	1514	11	631	7	592	70	2583	2209	1854	1919	1445	2577	2665	2900	3901	2100	2694	2053	1979	2038	1844	2300	2033	1929	2041	1944	2294	2112	2087	1898	1887	2294	1842	1959	2174	1765	2421	2159	1978	2192	1806	2282	1560	1639	2251	1620	2464	4257	2870	2960	2589	2469	1506	1842	2584	1857	1762	957	1528	2036	1438
12/20/2024 5:40:00 PM	20	1493	2362	2129	2005	1743	1893	2997	2517	1880	2674	2642	2971	3079	3458	2473	2122	2420	2962	-2.147484E+09	2911	2385	2577	3065	2466	3196	2524	2281	3123	2412	2872	2430	2259	2888	2535	2958	3060	2085	3173	2968	2234	2599	1763	2748	2754	2318	3080	3522	3491	2703	2519	2036	1977	3033	2952	3561	1819	1706	2357	2805	1557	1533	2251	2402	1254	2093	3268	3396	4347	4662	3063	2375	3046	2810	2712	1460	2664	1816	2840	2751	2742	2689	2817	2677	2837	2837	3008	3055	2817	2796	2571	2867	2784	2956	2812	1669	3028	3103	2939	3070	2014	2859	2186	2992	2777	2079	2777	2859	3218	2056	2048	3074	4466	4631	3486	2708	2257	1532	2377	2646	1914	1476	2209	1216	812	1663	2639	2918	3028	2700	3083	2547	2754	2634	2052	2303	2432	2838	2605	2180	2602	2588	2631	2871	2331	3027	2731	2636	2789	1687	2694	2853	2743	2729	1705	2544	2900	2960	2754	1865	2874	2932	2706	3029	2418	2553	2791	2551	2837	1760	2881	2514	2974	3659	3275	3427	2200	1470	2210	2053	2028	112	1021	145	1220	1170	2466	2589	2573	2328	2133	2657	3167	2755	2995	1661	2584	2836	2541	2847	1968	2519	2840	2431	2394	2104	2655	2898	2685	2719	1774	2709	2703	2660	2712	1792	2767	2664	2730	3015	1697	2888	2666	2727	3097	1909	2480	2734	2616	2978	2127	3046	2680	3545	3397	2481	2084	1660	2302	2625	1766	6	516	2	98	632	3121	3581	3035	2051	2834	2329	2841	1992	1254	2327	2550	2944	2407	1502	2365	2212	2751	1878	1284	2433	2215	2528	2107	1244	2331	2706	2427	2465	1633	2257	2591	2473	2537	1397	2631	2963	2258	2805	1768	2561	2701	2681	3039	2212	3033	4505	5226	5497	4685	4190	2444	1629	2295	2315	1792	12	738	6	601	75	2869	2441	2034	2151	1566	3003	2970	3195	4308	2331	3159	2401	2265	2349	2076	2496	2131	2024	2121	1990	2432	2247	2188	1984	2060	2631	2113	2294	2498	1979	2792	2388	2308	2480	2147	2774	1880	2045	2742	1903	3037	4745	3278	3480	2951	2927	1796	2287	3053	2140	2153	1142	1820	2432	1737
12/20/2024 9:40:00 PM	24	1588	2604	2322	2091	1874	2062	3232	2695	1978	2911	2992	3473	3592	3960	2880	2538	2833	3502	2794	3367	2858	3032	3546	2960	3728	2980	2676	3735	2856	3427	2903	2756	3482	2934	3457	3664	2555	3739	3586	2637	3077	1973	3293	3238	2770	3655	4054	4109	3129	2949	2244	2093	3475	3100	3770	1880	1835	2629	3001	1613	1719	2438	2593	1385	2311	3605	3693	4573	4979	3204	2761	3619	3257	3150	1692	3182	2140	3345	3227	3154	3186	3401	3268	3339	3241	3525	3606	3360	3297	3083	3345	3313	3473	3344	2007	3625	3591	3521	3623	2381	3359	2607	3610	3240	2470	3340	3396	3824	2463	2426	3320	4959	5215	4016	3010	2522	1717	2732	2959	2116	1472	2217	1297	809	1757	2695	2988	2984	2746	3093	2953	3108	2998	2266	2676	2750	3319	2992	2414	3008	3053	3016	3300	2720	3573	3253	3147	3308	1966	3206	3450	-2.147484E+09	3304	2028	3029	3502	3501	3330	2279	3443	3583	3176	3554	2856	2996	3230	2994	3240	2086	3434	2868	3357	4000	3594	3766	2467	1605	2477	2307	2160	106	1057	134	1304	1255	2651	2882	2822	2522	2322	3092	3805	3202	3462	1917	3082	3408	2986	3296	2272	2829	3243	2762	2702	2451	3000	3265	3030	3063	2027	3211	3200	3133	3202	2124	3263	3117	3232	3549	2050	3384	3140	3196	3661	2233	2884	3235	3106	3457	2487	3396	2941	4007	3782	2642	2278	1839	2516	2838	1934	9	524	1	107	678	3354	3979	3284	2174	3064	2701	3389	2308	1434	2684	3006	3447	2850	1716	2809	2400	3000	2095	1338	2747	2415	2768	2373	1354	2629	3159	2849	2944	1922	2641	3079	2779	2976	1601	3108	3483	2693	3317	2126	3049	3207	3176	3564	2558	3496	5072	5776	6059	5317	4715	2854	1929	2680	2745	2100	13	738	5	657	80	3131	2658	2197	2342	1753	3521	3365	3571	4792	2677	3688	2759	2660	2697	2455	2671	2206	2121	2215	2064	2591	2363	2389	2085	2192	3159	2461	2617	2855	2250	3113	2706	2633	2864	2461	3188	2233	2365	3228	2346	3523	5378	3761	3910	3433	3479	2185	2697	3604	2516	2572	1337	2158	2854	2080
12/21/2024 1:40:00 AM	28	1628	2681	2512	2037	2067	2124	3395	2742	1964	3217	3247	3971	4107	4374	3440	2830	3282	3965	3087	3824	3328	3513	3965	3384	4254	3445	3095	4165	3276	3983	3286	3281	3955	3401	3996	4226	3006	4344	4087	3083	3653	2385	3833	3626	3238	3995	4339	4786	3472	3502	2540	2006	3522	3343	4069	2060	1886	2714	3112	1825	1930	2614	2868	1477	2462	3899	4021	4879	5361	3422	3125	4019	3706	3507	1919	3628	2373	3851	3663	3657	3646	3971	3696	3794	3719	3992	4121	3827	3809	3481	3802	3817	3934	3783	2309	4142	4069	4056	4127	2774	3903	2993	4089	3740	2813	3933	3942	4391	2892	2825	3659	5360	5516	4410	3268	2914	1892	3012	3279	2289	1522	2215	1263	834	1799	2793	3046	3075	2752	3127	3311	3472	3375	2469	2990	3036	3637	3378	2644	3345	3448	3480	3748	3179	4064	3748	3656	3774	2279	3703	3884	3724	3796	2365	3466	4023	3975	3855	2641	3967	4032	3614	4005	3347	3398	3689	3302	3723	2445	3939	3083	3584	4378	3879	3941	2661	1771	2781	2511	2335	119	1133	149	1347	1346	2877	3106	3012	2707	2496	3480	4340	3685	3936	2199	3487	3901	3381	3721	2662	3142	3684	3046	2954	2729	3275	3546	3346	3405	2281	3677	3673	3582	3629	2436	3678	3587	3776	3985	2373	3785	3550	3633	4269	2571	3254	3697	3506	3905	2825	3713	3158	4292	4153	2826	2447	2054	2658	3079	2077	11	571	1	101	752	3486	4352	3476	2306	3203	3059	3870	2581	1644	3040	3452	3966	3267	1936	3189	2624	3257	2258	1399	2996	2657	2899	2562	1430	2860	3576	3224	3377	2203	3062	3496	3188	3414	1870	3559	3975	3169	3731	2463	3461	3624	3640	4049	2904	4045	5618	6290	6596	5805	5200	3269	2254	3125	3194	2359	13	812	4	731	76	3292	2860	2328	2463	1878	3950	3793	4030	5158	2926	4129	3151	3053	3054	2778	2847	2281	2218	2282	2130	2759	2368	2486	2088	2297	3502	2838	2993	3187	2569	3532	3079	2956	3230	2799	3671	2608	2651	3659	2673	4029	5948	4201	4459	3764	3939	2517	3057	4125	2902	2920	1573	2440	3260	2354
12/21/2024 5:40:00 AM	32	1885	2801	2663	2409	2085	2329	3529	2978	2061	3101	3768	4268	4433	4641	3590	3263	3554	4349	3499	4201	3781	3908	4575	3823	4722	3841	3399	4673	3678	4388	3763	3655	4512	3836	4426	4704	3355	4797	4547	3399	3983	2594	4264	3969	3532	4353	4855	5226	3915	3657	2644	2314	4088	3427	4187	2083	2042	3040	3367	1731	2161	2762	3041	1589	2505	4239	4274	5084	5558	3555	3484	4451	4060	3895	2122	3985	2622	4236	3984	4003	4034	4357	4115	4274	4037	4457	4582	4349	4287	3867	4235	4361	4366	4212	2572	4521	4520	4503	4603	3116	4432	3458	4508	4047	3103	4383	4276	4866	3244	3154	4039	5572	5844	4857	3393	3208	2062	3341	3613	2454	1578	2246	1267	808	1871	2856	2993	3058	2692	3079	3641	3800	3595	2632	3278	3296	3900	3647	2989	3679	3785	3880	4150	3545	4441	4135	3966	4141	2524	4128	4286	4205	4245	2673	3955	4485	4444	4325	2920	4388	4442	4087	4343	3633	3800	4101	3723	4124	2738	4340	3371	3893	4661	4084	4294	2883	1950	2993	2733	2480	107	1218	153	1478	1453	3053	3236	3176	2824	2577	3908	4778	4074	4263	2414	3885	4227	3806	4097	2918	3421	4031	3272	3212	3006	3449	3835	3641	3660	2477	4067	4019	3979	4003	2691	4096	3931	4151	4359	2625	4184	4023	4081	4707	2831	3571	4046	3893	4229	3182	3988	3257	4459	4334	2997	2701	2126	2795	3216	2194	9	643	1	109	891	3829	4558	3756	2393	3345	3392	4242	2925	1873	3364	3801	4342	3569	2194	3545	2832	3370	2448	1470	3201	2842	3067	2720	1571	3094	3975	3620	3771	2459	3406	3853	3530	3810	2069	3966	4472	3494	4121	2794	3916	4110	4051	4576	3322	4473	6083	6831	6957	6313	5676	3728	2533	3551	3562	2646	15	863	5	777	81	3345	2929	2401	2527	1986	4320	4139	4302	5540	3264	4501	3451	3413	3417	3048	2920	2374	2391	2339	2185	2851	2457	2554	2157	2355	3795	3148	3263	3513	2883	3849	3344	3272	3504	3131	4114	2945	3016	4082	3032	4401	6330	4654	4932	4120	4405	2903	3444	4567	3379	3299	1814	2691	3730	2680
12/21/2024 9:40:00 AM	36	1937	2861	2758	2496	2101	2385	3568	3035	2069	3131	4049	4429	4757	4922	3798	3499	3764	4593	3740	4358	4352	4538	5077	4319	5269	4430	3941	5143	4330	4950	4297	4157	5030	4392	4933	5278	3820	5383	5078	3893	4317	2859	4673	4312	3871	4813	5161	5712	4260	3916	2772	2336	4213	3456	4130	2181	2117	3116	3484	1787	2291	2814	3197	1702	2618	4308	4376	5266	5738	3622	3765	4640	4298	4201	2306	4207	2892	4485	4256	4253	4630	4859	4550	4859	4606	5098	5122	4893	4787	4348	4807	4882	4968	4729	3022	5111	5008	5030	5182	3618	4874	3826	4907	4390	3369	4930	4652	5242	3535	3386	4246	5772	6039	5182	3557	3380	2263	3616	3845	2603	1554	2225	1215	770	1822	2822	3059	3032	2721	2978	3853	3981	3677	2746	3357	3502	4089	3871	3160	3829	4129	4260	4514	3799	4868	4432	4310	4432	2732	4340	4758	4670	4728	3053	4537	5003	4952	4777	3311	4845	4735	4353	4658	3892	4203	4378	3949	4542	3019	4690	3534	4007	4788	4297	4579	3085	2118	3121	2931	2626	99	1279	155	1563	1552	3200	3355	3308	2918	2642	4188	5103	4388	4530	2616	4113	4504	4062	4386	3183	3653	4282	3593	3384	3193	3737	4070	3793	3848	2628	4402	4340	4323	4296	2976	4489	4199	4542	4881	2923	4530	4385	4484	5130	3100	3893	4350	4202	4550	3442	4178	3250	4523	4460	3008	2857	2247	2849	3330	2213	7	715	1	114	932	4001	4791	3792	2522	3571	3726	4488	3220	2071	3582	4089	4730	3919	2469	3925	3018	3580	2620	1512	3338	3014	3191	2896	1594	3222	4346	3887	4182	2747	3818	4219	3816	4060	2268	4242	5016	3983	4656	3210	4396	4646	4568	5077	3820	5090	6613	7286	7479	6786	6059	4366	2919	4065	4075	3095	19	910	4	801	81	3275	3020	2434	2560	2066	4623	4497	4710	5832	3482	4782	3766	3529	3697	3224	3018	2343	2434	2381	2220	2959	2458	2641	2110	2397	4016	3409	3522	3717	3127	4062	3555	3666	3747	3432	4695	3383	3562	4589	3493	5005	6829	5226	5382	4738	4950	3372	3976	5083	3758	3802	2115	3085	4239	3187
